"","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"Q9Y520",15.5334199696357,15.5557213691005,15.3701178096264,14.7143458224446,14.72805327297,14.1669521573114,14.768745570661,15.486060938909,16.2040305198377,15.5689581746273,15.7614582631563,14.9338300508274,16.6483309904056,16.2457654193369,16.510640374028,15.507493445847,16.5272727939614,16.325801192601,16.392587247095,16.8003159664493,13.9216412496515,15.7941386168102,14.9606899169579,16.100489153732,16.6643315816455,14.2569271759252,16.3896916522178,14.966678408103,15.9081418498346,15.7849129644514,16.6899043973462,15.6106199522474,15.5724695611367,16.0832591729081,15.0519877045345,15.1646474707904,16.0295468386199,15.8709694214043,15.4058382118376,15.424005812176,15.2258993338297,15.786603711879,15.4736009631069,15.8918026006751,15.8475460358375,15.6719757243735,15.4385073962197
"O15121",14.9376122491021,14.322150729408,14.6453619602045,15.1562685237959,9.48218243870237,14.8154869866409,15.3869933155259,13.7963095782045,12.4705378353198,12.4114689890624,13.8048522628678,11.2515624518611,14.1195371472211,15.5735400158191,16.6691424806596,16.0117160130688,16.8760658248857,14.4417372711795,11.4041005877751,13.187860561461,13.9734687948032,15.710639239073,15.7427511422254,15.8097027420702,15.8434922883695,15.0626011970822,16.0670847571615,12.9253661249014,14.8526800660225,15.9410837801406,16.026960892548,14.892418660786,14.915563452177,15.3467549410265,14.9824342344859,14.3878783801983,15.2260860601257,14.4321934800267,15.3644696549859,14.675362749541,10.8362086400489,14.6028784156437,13.0739453002008,14.9662081834579,14.7298012110664,14.9405719554345,15.0306044066132
"P02656",19.7417521034619,19.146769659823,19.7417521034619,20.2133067048264,20.4705111702725,20.4705111702725,20.2133067048264,23.4532572443007,22.4513674572994,21.8083472429174,20.9874194429615,23.4532572443007,22.4513674572994,23.4532572443007,23.4532572443007,22.4513674572994,21.8083472429174,21.1676838756877,22.4513674572994,23.4532572443007,23.4532572443007,23.4532572443007,23.4532572443007,23.4532572443007,23.4532572443007,23.4532572443007,23.4532572443007,22.4513674572994,23.4532572443007,23.4532572443007,23.4532572443007,23.4532572443007,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878,19.4434591302144,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878,22.6164571681878
"P27348",15.2507609412735,9.41593531482925,12.8268798387714,17.2088710462443,15.3986354804886,14.5412478718959,13.78464958118,16.2126709061572,15.3787154010736,13.4767809690326,14.1560661358239,14.1216902218817,16.982937825109,16.6782014313399,16.0506732309938,11.7030257699534,12.900463987335,11.7530694128241,15.5376810984339,16.2567248648566,15.3382336948059,17.2303351365797,14.4849194853678,16.3440813318695,17.6424233324612,16.4151205609625,17.1263191477246,16.8318821107833,16.4291052546268,15.5554737693702,16.3830418473956,14.2691183524075,16.0395960577428,16.0497576070753,14.8465894073541,14.6544863226988,15.9333469091409,14.9261031627168,14.4742396737383,13.6958002562747,14.8950180650566,15.648023110458,14.5204831254425,14.4084733666572,15.3064288619219,16.0255177868795,14.4072232928772
"P29762",15.359603100032,15.5181885049842,15.5283805069995,12.4272333117412,14.9278225119403,14.4102821418124,10.9037957737294,13.9711952241133,15.0063636362461,14.0537718673992,14.6153045620639,12.3906349655444,11.3207619776226,10.1274418819372,12.3970153408907,13.7906511232683,13.9986415284449,14.8192927715285,9.47018445894647,11.3071241835252,10.6338498524463,10.7896157115921,13.1339789400955,10.1536616739677,15.0851155515746,9.90470059832369,12.4272333117412,12.4863021763309,11.7978115981772,11.4692839144087,10.8688840134464,11.9029146460379,12.8973098924593,11.3769847339919,15.783553456881,13.9465302939584,13.5204057311995,12.5827868813063,12.7879507620323,11.6037703324736,15.1404054599451,13.7129455526454,12.5719103520024,14.1718222830562,11.920476119911,12.3500029067601,12.0276942519754
"P30049",8.97438911812452,10.8489277309364,10.4503094291398,12.5953820791013,11.2908494111606,11.7238184592863,11.4273853467268,14.3105344502133,11.4273853467268,13.7886278456424,10.4244292181331,15.4696418435755,15.878187058567,16.2537973562051,15.9478173813324,14.6213046756887,14.3519757458467,14.0367129202587,12.4232903440569,14.3712854345496,15.3249003443262,14.7548504276669,15.0390143068488,14.7427973757165,16.2882697701286,14.040800233191,15.9455931661225,15.6913867857767,15.6613272987229,17.0699338814146,16.6988312315261,15.5724521098399,16.7560191769036,13.1306348302442,14.7762324499172,15.6375866811369,14.324749743732,12.5764668166905,11.258133838447,12.2443798382605,13.3189202606608,13.5985472780597,14.3662768342138,15.6404234985068,15.33140907723,11.9407251893979,12.6043494595757
