"","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"Q7Z2K8",15.3671994423879,14.3900665297697,16.7332000693565,14.9222545755985,14.8426657037421,15.9917862163637,15.222010385882,16.1410488967206,15.0817868215401,14.9345654139901,15.8319776357825,14.6192321756901,14.5829359490693,14.7898516708272,14.9289992404568,13.9870331811873,14.7426255870825,13.6848421442411,12.9018137136997,14.1065804471067,14.1714143193109,15.3713555074081,15.9691315669392,13.9323006662581,12.8809016924115,13.4642143455164,13.8918074121744,12.9546096402406,14.0643025829464,14.7288393817309,14.1405699422281,14.380301457914,14.8726545549962,15.9228555968877,15.3343159255369,15.3926320787041,12.2192559860762,14.5192334751522,15.1725266199167,15.5416539097674,15.0509650046939,14.8564271566189,15.038054218326,15.1587663580072,15.3059662504309,15.0865895564631,12.7543923291831
"Q9Y520",15.5789741680086,15.6020956881418,15.418263070369,14.7903274389577,14.8033041115399,14.2676947168416,14.8412954295956,15.5335045921229,16.2324935768242,15.6146148716908,15.8038837124357,15.6829823152599,16.8701728075889,14.7825415120464,15.8912401983152,16.2123567705499,16.8963234934279,16.2185515437821,16.5925785506056,16.2922747227691,15.8971254533596,15.1356474720144,16.193228611183,17.0304277776383,16.8113125188641,16.8041950613034,16.555801983958,16.354429259372,16.4761273436318,16.2185515437821,16.3943173722384,16.8075012372923,15.8542556234905,16.3406027611958,15.3612405356271,15.4666358104524,16.2900668770937,16.1383860304558,15.6963526058708,15.714060923268,15.5239545891982,16.0566232810013,15.7615802685106,16.1588925805048,16.1157787796346,15.9475655252391,15.730088677978
"P02656",19.7865055204844,19.1701087063432,19.7865055204844,20.2372010342082,20.4726435858545,20.4726435858545,20.2372010342082,23.149486090883,22.1233195731827,21.6640657538563,20.9000442911028,20.4726435858545,23.149486090883,21.6640657538563,20.0518513750906,20.4726435858545,23.149486090883,23.149486090883,23.149486090883,20.5769131890742,21.6640657538563,23.149486090883,23.149486090883,23.149486090883,23.149486090883,23.149486090883,23.149486090883,23.149486090883,23.149486090883,23.149486090883,23.149486090883,23.149486090883,22.1990641275435,22.1990641275435,22.1990641275435,22.1990641275435,22.1990641275435,19.2853881412764,22.1990641275435,22.1990641275435,22.1990641275435,22.1990641275435,22.1990641275435,22.1990641275435,22.1990641275435,22.1990641275435,22.1990641275435
