"","HB01","HB02","HB04","HB05","HB08","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB48","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80","SB1","SB2","SB4","SB5","SB8","SB9","SB12","SB13","SB16","SB17","SB20","SB21","SB24","SB25","SB28","SB29","SB32","SB33","SB36","SB37","SB39","SB40","SB42","SB43","SB45","SB46","SB49","SB50","SB52","SB53"
"A3KMH1",14.365532528802,14.6282426471996,14.0713025203828,14.5170521082223,13.7925812482503,14.0004106086595,13.5359961703375,14.3593922570464,14.3732908280544,14.0126184327745,13.7881054662016,14.4136772404576,13.0666430802281,14.6968274579726,14.6843654079985,13.9976352681145,13.611975193326,13.9620911106103,14.0256028335668,13.9071003148602,14.4905509662233,14.6315647964525,11.239412888093,14.2942093203502,13.4797921338607,14.0561244682679,13.724916490893,13.7301801852468,14.0813152401936,14.1744743727527,13.6223735952479,13.6460443814693,14.0594191836882,12.0988703612291,13.0809580026577,14.132770139858,14.1426366305558,13.2718409924297,13.4294423867993,13.1793647280316,13.7068272598951,13.3258305443255,13.6180573649508,14.9294905266358,14.3505273887092,12.4518085703619,14.1362204342141,14.7880891668168,13.8058540344403,13.266212341105,15.4756516426019,13.4999915927878,13.7360884047297,12.6435292937577,13.9450009611411,14.385615510763,14.6114269558261,13.9527618410669,14.2740496972177,14.7112729151707,14.3224373600438,14.0519319047257,14.863127269267,14.0277095638041,14.0117170587966,12.2980512955072,14.7406967969208,13.7242959939302,13.892094502395,13.8772986342774,13.8376843752468,13.6728937953857
"Q6H8Q1",14.1577100660897,12.256738270912,13.5098533939074,12.3710375546194,11.9434400127275,13.6653480253657,12.2125159358585,11.0701998804057,12.1937738688111,13.305820771664,13.2369203572915,13.5853569348065,13.644373250798,13.3907165508085,13.0714970144901,14.0516493583447,12.5437027116244,13.3620270662717,12.0956392056544,13.6235334241089,11.4679528961351,12.4596347238299,13.1069693848476,12.845243398694,11.6209938949706,13.787447728177,12.7289993118915,13.2291829240689,13.8758463918492,12.9473371116803,8.1872853383037,10.8505442514734,12.0404209892579,12.4256093741738,10.5624626175218,9.8643371608784,13.3737983178314,10.0831154865402,12.0115556531263,12.4853893961409,12.2558380627651,12.6940738405025,13.4619450638166,9.82959302658968,13.5435295317874,12.5725417100031,11.0564179998082,12.6829091675886,12.8278793690826,12.6775483661635,13.5637136880516,12.8921650063288,13.0258200815382,12.7005098874153,12.9818787033945,8.90677400797053,7.31965089512973,12.7524443867485,13.2811542873404,13.2306636910736,13.4681268989171,13.182419630146,13.7552845227505,13.5051015914231,13.2366457559576,13.3567812372065,13.5011738145648,9.48333187567397,12.9346922138956,13.1671788209266,13.0191087024124,12.8219134613459
"Q86U86",13.8596672276581,13.4736857739842,14.1572889440496,13.5781013146612,11.9380000222684,12.030399220461,13.6268129705937,12.108838502742,13.2666294167931,14.300477340928,13.3632433218298,13.925500617644,13.4955251463706,13.2434338838902,13.0471043392577,13.0184048661509,12.3887725532336,14.0423824037506,12.4692773387725,13.3632433218298,13.9136973961779,13.1991513190751,14.3033338117654,12.2223537683701,12.6450185275961,14.7003062621175,13.8028817886369,10.863129568477,13.2510755758472,10.9859055269055,10.3113948125085,13.718588639532,13.5862209245864,12.809380475838,12.9112116876164,13.6761120353215,12.5062643697658,13.8305128143259,13.8889484024041,13.1417334904646,13.3920128650186,12.4675377149945,13.4245466444161,13.1530826001022,13.2978057916257,12.3959349078777,13.5230648094023,13.1384444815944,13.3371492611822,12.9062734412563,13.2120043662361,14.1620844876039,14.3132096892051,12.8886206883199,13.3250934773584,12.9573499351569,13.2910297941755,12.282653275085,14.4753743194721,12.5941650406626,14.3589157101145,12.7907475646645,13.3021081584491,12.6974293082217,12.6241054636601,12.7000445127449,13.7947366774891,12.0155690090499,12.6031309977966,12.0520829872745,13.0500900168896,13.6265424644378
"Q92905",12.5850834799354,13.8186856376305,12.9666821369335,12.5680660437503,10.5274635723882,12.656285644162,12.0986600904299,12.8586349705654,11.3184776289529,12.2068265734904,10.5274635723882,12.5034113700589,8.43292174980129,11.0375634985918,12.1029740850087,13.503426158761,11.9622182852419,12.1328436085022,13.1896655020835,12.5376421669919,12.7048832076339,11.5372443495964,12.6124377447123,11.42396416577,13.1470647144913,13.545296804706,10.6991826792044,12.6460075442197,11.867782827215,12.4140566473176,11.2868886811134,11.8137183014431,9.95028321397054,12.1942661327212,13.0532371118742,11.9554555538158,12.6994464975828,12.8763827386974,12.8039866065541,10.9204625495483,12.9953452791315,12.1589257621952,11.990502938056,8.08804343441533,13.5604279619548,11.0656310246818,12.4272986094956,12.7678351519544,12.2274471153382,12.6096597578809,13.5478448648425,12.204705876096,12.547094116506,12.082898243554,13.7428668494015,13.0796469085372,12.5209551056347,9.73277835653254,12.8334708566751,10.3554902835963,12.7773248091491,12.8439934985704,12.584887584761,12.2262951513357,13.0236630990984,12.5813092108943,13.2217535103534,12.6423538086972,13.0211846348563,11.4508106834108,12.314856539584,10.6911814137984
"Q9P2U8",14.1743105844596,13.2856035627592,13.2712043398565,13.4578993205357,13.1712002380464,14.2403135273168,14.7165728587405,14.4417746217499,13.0779114123898,14.3554651568412,13.6214924617574,14.2307706778462,11.3792207140803,13.5573207657558,13.2748368548847,12.9361633582262,11.1322267153377,13.2934516206176,12.8982117892901,10.9750748685276,14.0688330674955,13.2613196863513,14.1850222315334,11.2895655064379,10.8922409445039,11.469149746498,14.7339585352463,9.50424092955028,10.1440834557163,14.0131835841401,14.2636068223963,14.1712750856884,13.7253300626472,11.8868082094164,13.5285500012372,9.40316427098815,13.5952334642708,14.006034827633,14.324414726158,12.5872110034953,12.841499086142,9.58265573188227,14.053211189772,8.29000667080211,13.7357555053968,14.2967014620242,13.9556543060392,13.7965493053428,13.5415064618351,13.5919896824893,14.2664214705933,13.3924792623319,13.6831703398276,9.97414026062999,13.2155799590409,13.19759122141,13.8289039658843,13.1889025122753,13.7167155597015,13.4546673244597,13.3900467485743,12.3858342035309,13.5341864361925,8.09058758951408,13.6042093777892,12.8727345889567,13.5155185173536,11.2707448050592,13.6876621340496,13.1708172173616,11.8051678337854,10.9057363116897
"Q9UQ90",12.260748875801,11.8914126141453,13.5718811282636,11.756174991977,12.0773723972494,12.9840182705682,12.866482973772,13.0157440424663,10.1633263716,12.4217150042614,11.1176673503303,12.4604728762988,13.1291235736238,12.5819153486682,11.7675330283699,13.2752343213843,11.4256284431729,11.1216183348093,10.2133583091263,8.93216703707133,11.8389861701631,12.9668236529048,10.7253116213131,12.4227875839313,11.4495572298625,10.477820356421,12.6867242582031,11.3419763252856,11.472723504314,11.1423479491591,12.4839214613227,11.8155802610217,12.6162320211415,13.02198597434,12.4778876680487,11.1410864793104,11.0485437637474,12.4977635816703,12.2922093282849,11.7633839806698,12.5847001599924,9.8980615554291,10.0141463153276,9.92135591717761,13.2453063328926,11.5166401822852,12.3622528627898,12.2112322839627,11.1872412337616,11.1093162841314,12.855727499701,7.63342651928542,13.7745567834327,12.6860610632927,13.0949379800962,12.1724487831279,12.9961781713566,13.1908904620167,13.4365670970038,12.536358743081,12.8606896765426,10.0717120022224,13.3618977563394,13.4805714319523,8.11139636933102,8.02222768459692,13.096985843388,9.04326187190712,12.7795249059499,10.5803425714922,11.7458707245756,12.3854690976946
"O75935",14.0797265321489,13.768891636803,13.3614026354355,14.6659435917409,14.0287899237314,12.6429442800352,14.3186977298737,13.4777773404203,13.9234651158568,9.95616378228468,14.5276238061743,13.7315974175057,13.8630127208901,13.5768499286935,14.1022707531447,12.7508278092983,13.9263511473411,14.0985031331687,14.4153230865177,13.4674165377803,14.1806541239229,13.8843838373327,11.6568146522514,15.0354512619258,14.6549772816404,13.1439484904725,13.9876479439146,14.7838130912189,13.9156729971319,14.7109614645876,14.7963532326971,14.3377181416582,14.1062109440954,14.2955234371597,13.1693828884589,14.2014808959049,13.0950474391625,13.8028980230151,11.0096473308848,13.9667585209854,13.4777773404203,14.4729971137748,13.6883856780364,14.0250220274091,12.718057762578,14.7189750738857,13.7810922761435,13.3353424828993,13.9234375198714,13.7776528216794,14.3173248728735,14.5783032731411,13.186831914177,12.2786681017352,13.8575771350223,13.4900937331301,12.2111400453781,12.5677468181595,13.339000397608,13.2400127398683,13.9962646727863,13.9401491881258,14.3550704961402,14.3372811372499,13.4987564755452,14.3890436016575,13.7461166493056,13.3341301034062,13.6675946210024,14.1007328597559,13.7236531209616,14.1311842978915
