"","HB01","HB04","HB06","HB09","HB10","HB12","HB13","HB16","HB17","HB19","HB20","HB23","HB25","HB26","HB28","HB29","HB31","HB34","HB35","HB39","HB41","HB44","HB48","HB51","HB59","HB61","HB63","HB67","HB71","HB75","HB77","HB79","SB1","SB3","SB4","SB8","SB11","SB12","SB16","SB20","SB22","SB24","SB28","SB31","SB32","SB35","SB36","SB38","SB39","SB42","SB45","SB48","SB49","SB52"
"Q96DZ5",11.9171126030407,12.1943666516431,12.2298195066746,11.2153772561533,11.2736998406794,11.8508434679607,11.920031644548,8.72587248713049,10.5182287122968,10.4307950848565,11.642252889631,12.9645875127293,11.2953801873761,11.0773324820447,10.4230106257113,11.7858178077215,12.0534372983403,13.2629443519887,11.242376778945,12.6453431192279,11.0662374447315,11.192700769706,13.5042325306418,13.956866760945,12.3044961659252,12.8707287448999,10.4981625742938,11.9401932937076,11.7816382471928,11.5368262363982,10.9563867229174,11.6784288783805,13.2472217514594,9.98252210726288,12.9661981146873,12.6883736617387,11.4717609566368,12.7012697167847,12.527680691243,9.26149985411589,10.7154508501498,12.4809621499042,12.4839984644967,10.0638791727741,13.1038787766348,8.83607982914859,12.7336013520762,12.0579449928813,12.7133112814957,12.9848851100193,12.0276317624942,10.2034388872485,12.630867088887,9.34989379533044
"Q9H3Z4",12.1663297944055,12.4047648954522,12.0976376795086,11.8461625665381,12.6778104088952,11.0567050264877,12.4268535255059,10.3176974713922,11.9012772272194,11.9135917455673,11.6190775465572,10.7030907075894,12.2934408248089,13.536974040904,11.5329215684407,11.810874435166,11.4089902189807,13.9418988343103,12.0898021220484,12.8193042002603,11.2765678403291,13.2574611463003,12.4583491377208,12.3584170026534,11.5313625414653,11.8858993655216,11.4674952449191,11.5172090766933,10.7112441288422,11.7316970544249,10.8451110309398,9.78976221175038,13.1288894640362,11.5616200599192,12.7350204988157,12.0044418753196,10.4970205119495,11.8585043705285,10.7692120646529,12.9559151341659,9.06224479659428,12.2234663026696,12.0358162309908,11.6793569733079,12.6879675246897,12.4250572724881,10.0132548738345,12.2225172521611,12.7414375046153,11.7713448938018,11.394881566466,11.5266983510669,12.4842148050035,12.6867666380233
"Q9H4A3",13.1854264015377,13.0007504859716,12.8516682201649,12.8984660901093,13.1452466036977,13.4433272975841,13.6031037245081,12.5726902746783,13.4508398947411,12.962047592049,13.5804608454847,13.234932678332,13.1943070131322,13.1552090172647,13.1025359423776,13.0512476204662,12.6623013127127,13.1287366672166,11.9183058082908,12.6333725613573,12.6369984121261,12.8634891325127,13.1038749431147,13.7053197910982,12.6867216053122,12.3064655590839,12.9106407057528,12.7017295785771,12.701057672715,13.2227315559036,11.9559281263038,13.1459034833502,12.9621876810742,12.8606242073143,13.0041037009128,12.3942642112351,12.8558838834942,13.4824608359863,13.4866036909767,13.1163279488548,13.4066277315385,12.1187984752541,12.9852873070716,12.0764784584732,13.2489858885328,13.3326802156657,13.1764461813116,12.9621876810742,13.2137454510771,13.729846329056,13.4131213874934,13.0165760055867,12.5278635959788,13.1382023368766
"P06703",12.832396214012,12.9923136610164,13.368231514052,11.7616855773505,12.2857667371349,11.222795020542,11.8737649038567,13.1906193278941,12.7107866070543,13.5816716024071,12.3348147272289,12.720158855795,13.3773719566627,11.2262238816293,13.2065011631294,12.5024492361896,12.1631164718392,11.1189434820213,12.1808630460542,13.2289402083524,13.2559316421494,12.0597591428423,12.9156285240891,13.5816716024071,13.5129012267036,12.930309744026,12.9422675051779,13.7490322999057,13.3816249196964,13.9752979167294,13.8741376461694,13.4331176013864,12.8286503472905,13.5792165627912,11.8208380695444,11.0887749680248,13.7112204498702,11.4660157287674,13.7620487550374,9.8396576525356,10.5585530765087,13.3122042894537,12.7825358665416,13.7319764005929,12.9729417396565,13.3240638564282,12.6148720999353,12.3865501888937,11.8910711420312,13.052777992385,12.0774759962181,13.5949690800035,13.1211132928131,13.4142395526043
"P09543",12.969632866137,13.1851739721495,12.7373662743,12.363032228894,12.4161002914688,12.103234601502,12.7367118579003,12.4259331033588,12.6064976542702,12.6985717378701,12.7128661779703,12.7091801933147,12.3449647491676,13.0266635371475,12.6656731475458,12.8701847165052,12.1079490985885,12.8445870466234,12.3233045099497,12.1848467965172,11.9994987758981,12.505222143019,12.7961209587022,12.684788797299,13.03196139485,12.273459995958,12.5733132241166,12.6768619796001,12.3061290841015,12.5959048564681,12.541962122637,12.5744950794095,12.5872602005772,11.4135074392919,12.4374968994135,12.9460090978858,12.7823771300963,12.8667920508669,11.3900835080508,12.6662033833198,12.6718947879084,12.8015549594337,12.4789438943597,12.8350223944953,12.2783073553362,12.6683832295668,12.979657866451,11.9403917423283,12.6021225624956,13.1527108628616,12.4574568922834,12.3142899208905,12.8938702894105,12.7936114964625
"P49790",13.3434115149923,12.4930922239583,12.56385566463,12.8690992526298,12.1798773097779,12.4321183346619,11.4241662368747,13.7946159198426,12.6174556681222,13.1209917606073,10.9914163730606,10.7820732885725,13.3206672707659,12.3425935150373,13.5356796824503,10.5234595816112,12.701709239076,12.7568513630781,12.1486704001667,10.5649938939452,10.0378077316955,13.0295729792776,11.9758107998285,13.2682510781225,12.7835267615702,12.3322827263042,12.6870947653955,13.440303078193,12.6547502459413,13.060272418058,12.8337772573599,13.5663619247489,12.5999162001936,12.727993974665,12.8077081914126,12.4231346824545,12.0476510110303,12.5696001039294,13.1849562699725,12.5596007474664,12.6466763929237,11.9456906941857,11.6762770379342,12.8374771127239,11.7546511833932,13.066694265379,12.7739694470623,12.2701804541724,12.681764266918,12.642527171619,12.8478018113796,12.5748698280074,11.5426007300328,12.1299301524329
"Q00765",12.9272416562993,12.6204172714024,12.9723033336709,13.1561883925466,12.6775773400106,12.196584499164,12.7176789394569,12.3717211884433,13.0764827965104,12.284621978455,11.8924484470742,11.7191134420757,12.0817456799085,12.2601438739782,12.6887357039528,12.5648318424501,12.0662643478763,13.2355938362394,11.9108582584137,10.9537654073014,11.5950179296525,12.4445686790814,12.0989241215833,11.2168465075697,11.4988891976715,12.6506109994852,12.0799821971223,11.6637354742855,10.4897827615094,8.85377055593693,11.5538419832392,12.2884890080396,11.6341377497793,12.2374253243503,13.1497026460673,12.0870889730885,12.03283966483,12.4118200078334,12.5440957171323,13.1792244648787,9.70467026093241,13.4454462875442,12.9572292411368,10.1012777883096,11.9558161364179,12.3508091811865,10.8398460321794,10.7638033526739,12.1800331160207,12.5914268265318,12.5488014375692,12.0162892946482,13.0770547632351,12.2397964587188
