"","HB02","HB05","HB06","HB08","HB09","HB11","HB12","HB15","HB16","HB18","HB19","HB21","HB24","HB25","HB27","HB28","HB30","HB31","HB32","HB35","HB38","HB39","HB40","HB41","HB44","HB45","HB46","HB49","HB50","HB51","HB52","HB54","HB56","HB58","HB59","HB60","HB61","HB62","HB63","HB66","HB67","HB68","HB70","HB71","HB72","HB74","HB75","HB76","HB77","HB78","HB79","HB80"
"Q8IWX8",10.9193633123566,14.2151015532954,15.0569278494239,16.0261531667455,15.249337482324,10.7266290777041,16.0427157408696,11.6744822768982,15.9180233392291,15.4550437824372,15.4367545150424,12.5361977622708,11.6674182830776,14.6287657869021,13.8546689222356,14.7242181653071,14.5636863533828,14.7032933420183,12.6098630082876,13.5194468845642,15.0037235723316,15.4367545150424,11.3941266209155,14.8928835139588,12.8685441780591,14.6806293342668,12.3961749462052,14.8321266802393,14.9582909139186,16.4161015621505,11.3541245279229,11.7180876533174,11.2830482310509,11.2324386925142,15.3602761646353,15.5895229778149,13.7463805199352,15.1426261452227,14.4414015044349,12.6723979776583,15.0453713366079,14.0092120968177,14.8814750474403,15.6530103562766,11.9787990831071,14.5460022921751,15.4638306512864,14.9769543076533,14.8928835139588,14.9912304931476,13.8230100909689,10.0393240757948
"O15027",11.6299455763044,12.469482662517,12.6571653154451,12.3935871690345,12.2081071573769,11.9352623363368,12.6996533297952,12.6091191533455,12.9551012881624,12.6432150938722,11.7420348724158,11.1324702865943,10.0915389974773,12.7747741958246,9.88729298533637,12.376192128667,12.214774782534,12.6146537533362,11.3309593065746,12.7549125274802,11.5252981031959,12.6507560690514,12.0334959889343,12.9529450412146,13.1854330562131,12.3360879931271,12.8260234273914,12.1344928123504,12.907781872396,12.897001288015,11.0654263752777,11.2214050099476,12.2612570544143,11.9914427831129,12.5411063755197,12.540282502146,11.9313362402184,11.7980447730044,12.7517149746315,9.21580935582191,12.4629366915343,11.7630567445625,12.9491091583123,12.4517017366532,12.8112897993843,11.5945786191179,12.5556094963243,11.9256257766644,13.0571690275248,12.6418865745175,12.8810475585825,12.9274580600008
"O15067",13.0865075420579,12.199739220088,13.2042727598546,11.6731283046905,12.2820087606338,12.4229763909208,13.4902205803223,12.4594749404035,13.0151251465912,13.3285135222292,12.5872364296708,13.2571474061521,12.6166655931701,12.2602956478303,9.26717816926758,12.8491118373051,12.2138559408576,13.1369343231592,12.3302640330393,10.7821252621268,11.5359843017643,12.7106947859012,12.8273354250576,13.3272460737746,13.3016897270386,12.8997285268015,13.1395491281411,12.4202321790284,11.4242537326035,13.5914439406085,12.8644747495513,11.8317939382609,12.6366919122602,12.1677266515066,12.8247716004311,12.8104632607455,13.5762295463633,12.5314466437623,13.2699281749585,11.704415407363,13.1447662597029,11.4066576862633,11.5480950013182,13.3690284123461,12.2702578592195,11.7487622175784,13.252082507594,12.3705772837984,12.2579650406786,12.0135566257021,12.1809795522205,13.1865427187188
"O75880",13.3485467172828,12.5444487839126,11.5054325467004,13.1106685557746,12.9015465500133,12.4741536637535,12.5783303368849,11.7808469487907,12.1398715756353,13.0067528186239,12.0098743484693,13.6264490588379,13.0486764794439,12.5691297208079,13.4787819428258,12.43634170648,13.3723575991559,13.4059236694589,12.9962358921563,12.8535424135216,12.7433885271056,12.3576856595699,13.2406962839503,12.424394163712,12.0566603461718,13.8407904781088,13.1501703460073,13.1153858137568,14.036239095993,13.7923404879549,13.6022273333081,13.6197234014263,12.9787072304411,12.7371369575667,13.0731711786442,13.1270983767867,11.9900364610805,13.3046386205335,13.3088693581189,13.1244314472073,12.7621317141404,13.1312452220322,12.0884675468546,12.2673730447424,13.0196351453139,12.1779243318784,12.0438712678759,12.870585241497,12.5563065821152,13.3389882858102,12.6743454736153,12.8349228979874
"P20618",12.7188164223853,13.3902071416026,13.6722340092566,8.94795519050588,13.3687334810748,12.0958384724118,13.6536710235229,13.2057772623058,13.1884833123875,11.5591896373219,13.1593873525173,12.3267259104618,11.1215916096084,13.3341791110699,8.79625795013698,11.268672726448,9.56514236913252,8.82615809289066,11.225720984708,12.131560239736,13.1106191875237,13.1863576972253,7.12985515297662,13.0146647782726,12.4157393616908,7.47399771611348,12.8322019734698,12.3912544808284,12.3198303623129,14.0003327824892,12.9483790314667,13.3126728216321,12.481509365178,11.9498293971234,12.3002792296222,12.7408462218707,12.867719801609,8.71786975903682,11.7525516902267,11.2288753245969,12.7598541246489,13.5373325834078,12.6836951661997,13.3443646127678,13.518378438121,12.2767517855344,13.7316460157281,13.0147024026444,14.0351503310843,9.834732418447,13.5574006094482,9.40876464917912
"P21953",11.4219163484336,6.83585977499557,13.6227425285171,13.2095327249977,13.6970690203459,13.4719984612597,13.9585089750923,9.9651370836656,13.896509008975,14.3547294853529,13.9585089750923,12.1301479664,13.4999554253364,14.1736441876128,13.4338588067065,12.2706860378936,12.6564601847515,14.6162793481081,11.6155355973081,12.8429557445531,10.5690099371804,12.8643212973426,12.8784700539084,14.2238770332176,14.5147451625909,13.8175377189939,13.63275202381,13.5883840982492,13.7698630411946,14.8304197232937,12.7424873074142,13.8228723599264,14.0178289615414,12.7462226193142,14.0542526997242,13.8175377189939,13.909186300981,13.3633755603868,14.0018852753879,12.2433604601616,14.3021732026217,13.4412382174956,14.5940402135446,14.1938364910401,13.1159125341892,14.885752242628,14.2537690848727,13.0775722535293,14.2330313356081,14.5097558175635,14.7288092242563,11.8095938041309
"P26583",12.4717708362999,10.473885728628,13.0831053379972,11.9514374041213,13.0633195248817,11.7349396164749,12.3001680242222,12.3969897477616,12.6318799119107,12.3898632174606,13.3420989756622,12.3839831302522,12.8730174188275,12.1165333913811,10.408959838617,12.5028837704706,12.1590414258859,12.9516984174471,11.792437058244,11.8010940995595,12.0791984932311,12.2641875394627,12.2764046362561,13.0243618610859,13.2727306874882,9.39512294087795,13.0732479600578,11.8568765946608,12.2985213363341,12.190835698257,11.820160448016,11.8974130384882,11.6498243004348,11.6417178764576,12.4120953113885,12.7658658070908,13.3198379795598,12.8198049375382,13.2778208820843,11.0969595272331,11.9611084017049,10.9435443667809,11.7953063084304,11.5081711216753,12.2706731678235,12.0485081936167,13.1677139408321,11.8009473619569,11.6137973304876,10.5305172014373,12.5466314238085,12.1305503832952
"Q13868",15.3927843590472,14.9762879399538,15.565192176988,13.7339747378251,11.6419864681014,8.50852143055175,14.9496061810437,14.6836906267784,14.202884776914,14.6146136070786,15.7450373357387,12.2494616965719,10.047261988014,14.8941515881481,12.7565696696759,15.384865248812,12.8617942518883,14.6695656551063,12.3120325619697,13.3923612018745,15.9016895235625,13.6624747046513,13.9473922887602,15.6662706820171,13.2132934354836,13.182697515189,11.1918332264385,14.1226542674033,9.98255351423043,10.4584434511097,13.4949371884205,10.1594305706145,9.79909669156803,9.51054344604773,14.7081303378712,14.95186145247,15.8895532503588,14.3489174013776,13.2309648340597,12.8879415834258,15.3984528151288,8.98801361687779,14.3161553357468,14.6789195683753,10.3818771199169,8.68352721309723,14.6133654451224,13.2111438104421,13.4209958330954,13.5283147710755,15.4298150228238,13.2279302330049
"Q32MZ4",9.36699880622293,13.3218863906092,14.1300465258931,13.978813970694,13.4055738043972,13.9155673099005,11.8131638528186,14.3597323458265,8.80052440798836,13.20668405508,12.8985803170994,13.7912961599951,13.8704048525103,12.761612413584,13.9847342216227,13.223658064108,14.0307194234081,12.0334499201133,13.9977182065773,12.7236918965012,13.1050098829666,12.8121206414537,12.2375046935793,13.0937481508875,12.3567908172646,12.3713906858147,14.8284457221616,10.1201090954581,15.2652796523562,13.7125489097758,13.2890631490092,13.1777241751834,14.0400606930518,13.035294502762,10.5870120061161,12.7579396712579,12.0353568640697,13.5905813150947,12.4301597247715,13.6790010836098,9.3731394137489,13.7192797554521,14.2152392126202,10.3574514509194,9.57306019909782,13.2230173692131,11.3759592640046,13.3866748518543,13.0392037282215,13.6506808453717,13.6364947045348,14.0769689747369
