"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21"
"hsa-miR-10a-5p",75,40,17,50,70,30,84,76,31,18,73,51,51,134,104,159,88,119,89,86,43,60,104,95,91,57,290,58,68,89,198,67,157,157,79,83,119,86,99,6,123,302,146,147,109,1153
"hsa-miR-30a-5p",54,27,13,15,38,25,53,61,20,26,25,18,14,64,37,111,29,37,20,27,22,24,19,21,28,32,158,30,45,90,136,60,75,84,66,57,77,54,96,8,54,193,80,180,134,655
"hsa-miR-126-5p",196,119,53,193,154,104,174,151,68,99,152,174,115,266,233,442,216,438,190,190,61,130,238,185,113,167,1688,164,116,221,493,244,256,323,200,154,291,158,335,16,259,682,267,612,417,2587
"hsa-miR-223-3p",269,155,183,456,688,471,381,742,360,205,151,78,109,96,135,255,227,293,183,112,32,47,239,199,70,303,6759,427,323,1626,656,801,297,465,882,1166,505,1148,536,53,750,1324,326,4051,2430,1754
"hsa-miR-23b-3p",28,10,2,7,14,11,8,11,7,3,7,9,8,8,24,54,17,45,10,14,3,4,22,37,7,6,126,9,15,18,13,21,13,22,22,12,28,23,13,1,31,39,21,85,30,160
"hsa-miR-181b-5p",2,2,4,24,8,8,7,10,2,8,14,8,15,9,27,17,19,23,20,3,6,11,21,19,5,8,93,8,4,20,25,9,4,5,15,14,13,15,11,0,16,34,8,29,32,111
"hsa-miR-125a-5p",190,109,53,67,183,84,212,166,105,110,15,5,9,18,12,33,17,32,21,21,4,11,44,17,12,205,656,134,113,264,556,241,230,300,324,221,353,190,199,11,311,537,359,733,475,2159
"hsa-miR-142-5p",26,14,15,56,34,73,36,35,18,15,11,11,2,2,9,26,19,17,8,11,2,15,26,9,5,19,493,26,20,79,100,36,26,43,65,52,40,51,98,0,45,139,63,206,182,456
"hsa-miR-29a-3p",42,23,35,33,82,41,42,65,11,32,6,7,6,15,11,22,13,17,13,8,3,8,14,7,16,26,809,24,39,81,195,54,50,61,76,99,146,66,75,10,81,153,83,128,119,486
"hsa-piR-28765",146,44,48,96,77,98,53,80,45,44,133,266,243,204,301,429,864,246,189,176,111,122,303,219,362,53,275,51,266,182,121,69,154,167,188,131,171,117,152,16,194,206,90,325,310,573
"hsa-miR-93-5p",400,110,55,1104,522,563,198,229,155,166,285,234,291,271,472,554,324,550,433,243,84,323,293,479,192,93,2890,89,91,175,511,126,163,168,288,231,207,489,195,31,196,294,170,459,311,892
"hsa-miR-532-5p",24,5,4,46,22,35,12,13,8,10,8,7,4,4,12,17,11,14,12,2,3,4,10,9,10,6,102,3,8,11,23,8,13,9,14,15,12,32,12,1,12,17,7,20,19,49
"hsa-let-7d-5p",206,83,41,477,137,221,73,85,74,52,511,658,424,541,897,1369,578,1448,944,441,117,651,763,860,537,39,557,66,40,60,147,56,50,78,93,81,94,288,117,11,100,128,87,262,106,399
"hsa-miR-98-5p",29,12,7,111,27,44,5,11,11,10,222,250,181,203,341,564,235,557,315,134,39,130,395,438,154,6,205,9,4,18,15,12,14,14,24,9,9,37,6,4,24,13,12,33,23,48
"hsa-let-7i-5p",3427,1343,842,13475,3500,4721,1728,2294,1724,1536,1801,2237,2030,1787,4096,4314,2225,4947,3036,1389,477,1871,2686,3190,2281,840,18127,1226,885,2384,4304,1117,1111,1493,2777,2318,1649,5735,2116,264,2339,1777,1604,3706,2158,5795
"hsa-piR-33182",52,75,89,132,105,130,236,136,232,173,985,1199,600,1130,1302,1335,653,1033,1213,1332,1288,726,2640,1046,1170,55,210,55,50,80,190,85,158,276,183,173,117,116,72,14,112,113,102,118,83,301
"hsa-let-7c-5p",366,83,60,558,196,127,105,90,52,28,92,86,101,137,206,667,149,188,119,104,72,112,351,168,170,91,234,82,103,51,91,94,56,130,106,51,115,176,61,8,132,142,113,278,91,459
"hsa-piR-23020",21,8,9,303,43,18,13,26,17,14,14,11,6,10,26,25,14,29,11,10,2,4,30,14,6,10,339,8,9,31,27,15,9,22,23,12,23,30,7,3,55,25,17,59,23,43
"hsa-miR-3613-5p",16,9,6,57,8,28,5,9,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,8,1,6,20,2,3,8,6,16,7,25,7,0,7,14,19,12,15,73
"hsa-miR-25-3p",595,162,93,1907,646,860,316,325,234,252,6,8,8,12,31,14,9,23,17,10,5,9,18,20,10,148,1997,130,162,317,641,169,178,223,316,239,305,1031,246,31,262,359,261,486,379,1222
"hsa-miR-92a-3p",2557,585,527,7801,2444,2293,1203,1129,844,1068,149,125,202,192,418,325,222,312,302,112,61,226,280,313,307,586,5682,516,645,1012,1934,669,615,780,701,879,1167,4435,735,136,1120,1178,1024,2341,1606,4340
"hsa-piR-33114",109,73,109,703,297,184,135,209,145,90,121,295,238,202,241,234,1029,156,124,141,104,104,658,214,231,68,456,71,119,123,103,59,114,326,149,98,140,157,58,18,151,117,62,228,112,346
"hsa-miR-454-3p",50,12,7,175,36,76,21,27,7,13,2,0,1,2,0,4,2,2,1,0,0,3,3,1,0,16,133,19,6,14,50,11,12,20,20,15,23,59,12,1,17,28,29,50,28,95
"hsa-piR-23358",109,70,57,177,205,123,373,316,255,566,72,108,43,72,110,113,88,97,101,73,52,58,105,82,111,57,366,80,80,154,341,106,231,241,323,322,119,121,167,27,110,158,125,182,172,398
"hsa-miR-196b-5p",10,4,6,157,37,23,27,19,25,14,0,0,1,1,0,2,0,1,1,0,0,0,1,0,1,7,89,7,8,28,21,10,8,9,23,12,9,74,25,2,14,8,8,16,14,27
"hsa-let-7g-5p",371,110,97,1468,352,485,171,157,93,102,1801,1999,1506,2156,2493,3903,1892,4506,2547,1538,521,2545,2416,2806,2047,79,1091,91,98,111,226,89,106,136,189,159,164,394,138,17,162,215,157,444,202,894
