"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-piR-33025",18,7,11,23,33,36,33,35,22,60,15,11,27,94,25,18,31,7,10,13,35,19,32,55,20,41,21,56,58,38,28,20,75,20,12,17,115,14,63,46,56,63,47,24,43,4,23,41,55,35,30,162,214,326,141,271,319,394,254,349,371,530,341,188,427,170,340
"hsa-piR-33031",70,24,41,500,84,68,57,124,46,51,84,55,38,129,41,98,46,24,63,39,134,101,100,185,115,74,82,234,408,298,196,40,111,21,48,86,90,37,245,195,100,99,123,99,142,16,105,150,88,462,450,624,17,17,20,29,23,45,29,27,30,24,9,18,84,22,20
"hsa-piR-33033",15,6,8,50,12,8,20,27,13,9,15,4,7,17,10,21,13,9,10,8,22,27,12,25,15,15,26,38,63,44,21,7,39,9,16,27,12,12,11,23,18,11,19,19,11,0,9,24,13,26,46,79,3,5,2,7,12,6,4,4,4,6,4,3,12,9,5
"hsa-piR-33041",19,11,11,31,45,24,21,29,18,6,28,12,14,43,22,23,14,3,27,10,43,15,30,49,23,21,17,46,64,40,25,29,181,12,11,32,20,15,20,27,16,21,20,36,16,2,32,73,24,98,73,207,8,4,11,9,4,16,8,12,12,4,4,8,18,15,7
"hsa-piR-33042",2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-piR-33048",4,3,1,3,8,3,2,4,1,2,2,2,4,4,2,3,2,1,2,1,5,2,3,6,2,4,1,4,7,7,2,3,3,1,2,6,2,2,3,79,5,2,5,5,3,2,2,3,2,5,8,8,0,0,1,3,0,0,0,1,0,0,1,1,1,1,0
"hsa-piR-33065",5,0,1,9,4,7,6,10,1,6,4,1,6,8,2,10,6,1,3,2,5,7,3,15,7,8,2,3,12,5,5,3,27,0,1,16,10,3,5,3,6,11,9,10,13,0,7,10,11,40,32,33,2,1,3,2,2,5,1,3,2,2,3,1,3,2,4
"hsa-piR-33073",33,4,19,121,29,16,27,30,25,17,19,6,15,44,19,25,18,14,26,6,26,13,32,55,37,26,15,50,107,68,46,14,144,16,16,46,40,27,23,45,58,45,35,23,33,3,24,50,28,223,140,204,13,32,19,23,34,56,43,59,53,33,16,34,65,44,36
"hsa-piR-33074",3,2,3,69,4,2,1,6,4,4,3,2,0,5,4,4,1,5,1,6,5,1,3,4,4,4,2,3,5,6,4,1,67,1,0,2,9,1,2,1,7,3,5,3,0,0,13,1,3,19,4,6,118,139,63,88,156,231,168,208,116,98,22,58,205,174,70
"hsa-piR-33112",48,33,31,160,93,76,60,95,23,33,116,52,41,120,55,89,59,34,64,43,162,81,121,127,129,75,71,127,240,254,112,47,124,48,40,101,135,47,132,80,91,109,151,78,139,15,78,166,86,325,232,468,15,22,21,28,28,30,44,44,35,23,10,40,37,45,16
