"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22"
"hsa-let-7b-5p",6802,3194,2179,31609,6646,5644,3471,3158,2378,2149,2976,3969,3741,3784,9398,7259,3788,7283,4638,2463,1548,3971,5702,5570,7062,2261,3122,3885,4803,1973,3836,2374,3259,4039,2140,5154,2201,3035,5504,3216,3874,4429,4040,6037,5171,2916
"hsa-let-7i-5p",3427,1343,842,13475,3500,4721,1728,2294,1724,1536,1801,2237,2030,1787,4096,4314,2225,4947,3036,1389,477,1871,2686,3190,2281,1086,1271,1469,2994,1262,2129,1401,1184,2151,1321,2891,1533,1712,3010,1909,1795,1810,2760,3122,2680,1679
"hsa-let-7d-5p",206,83,41,477,137,221,73,85,74,52,511,658,424,541,897,1369,578,1448,944,441,117,651,763,860,537,36,38,65,127,52,92,49,58,86,45,124,60,75,172,82,77,106,139,167,131,79
"hsa-miR-93-5p",400,110,55,1104,522,563,198,229,155,166,285,234,291,271,472,554,324,550,433,243,84,323,293,479,192,79,81,108,291,133,174,185,161,233,98,199,177,183,368,202,275,170,278,309,287,195
"hsa-miR-98-5p",29,12,7,111,27,44,5,11,11,10,222,250,181,203,341,564,235,557,315,134,39,130,395,438,154,9,8,9,23,2,12,13,12,19,17,22,10,15,17,15,17,14,21,37,15,10
"hsa-miR-103a-3p",527,161,129,1668,506,708,258,341,261,230,97,101,51,79,101,167,67,233,124,60,23,72,110,94,74,123,157,214,396,194,209,220,143,238,131,310,245,184,441,328,358,179,399,604,503,330
"hsa-piR-23358",109,70,57,177,205,123,373,316,255,566,72,108,43,72,110,113,88,97,101,73,52,58,105,82,111,83,82,97,247,108,115,188,101,161,82,136,113,147,169,130,316,127,278,464,152,123
"hsa-miR-192-5p",144,8,9,61,39,82,26,21,13,18,0,0,1,0,1,8,1,3,0,1,0,0,1,0,1,10,17,28,35,10,24,18,10,11,7,21,17,22,31,36,54,21,42,45,63,32
"hsa-miR-19b-3p",7,1,5,56,20,39,11,16,4,6,0,0,0,0,1,0,2,3,0,0,0,2,0,0,0,6,9,1,24,5,4,6,9,13,1,11,10,2,22,9,8,6,16,13,13,11
"hsa-miR-144-3p",54,8,6,92,34,91,29,17,9,19,8,5,11,6,8,11,8,13,14,8,2,19,10,7,13,10,10,20,33,11,22,13,3,12,3,22,20,14,40,33,14,13,50,37,35,40
"hsa-miR-486-5p",5781,2071,1063,15986,5014,6520,2971,2560,2108,2266,521,795,904,706,1772,678,441,784,894,462,225,1130,834,1050,1235,1506,1403,1799,3456,1640,2470,2220,1874,3017,798,2810,2127,2014,3121,2413,2865,1851,5250,4922,3689,1995
"hsa-miR-15b-5p",46,8,6,129,46,66,24,21,14,14,59,62,62,74,83,154,68,162,91,37,7,70,95,103,83,8,10,16,30,13,15,23,13,18,5,14,15,8,43,10,31,14,42,44,26,26
"hsa-miR-20a-5p",28,12,6,94,38,44,14,12,4,9,28,23,16,15,25,40,14,32,37,19,3,23,26,26,26,9,3,7,20,6,11,12,4,7,11,24,8,16,50,17,10,6,24,30,20,16
"hsa-miR-16-5p",14905,3928,2361,38196,15144,19048,5698,5473,3522,4657,1784,2172,2257,2077,3991,2561,1981,3755,3242,1495,803,3184,2729,2235,3833,3272,2470,4019,7580,3403,5739,4210,3259,4935,2523,9316,3043,4535,9114,6079,6854,5794,11561,12333,8506,6263
"hsa-piR-32863",4,2,3,60,2,5,4,1,4,1,1,4,2,1,4,3,1,3,6,1,1,2,2,4,3,0,1,2,3,5,2,3,3,3,2,7,4,2,6,7,1,4,6,13,4,4
