"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"Q6NZI2",14.2650528916559,10.8003640936593,13.5165522473713,13.7600782220994,11.3404064908533,13.680904993039,13.731652716724,14.0215950257698,14.3882852559679,12.2577279744668,12.1605208866239,13.8933027895507,12.5821838877787,14.1418979444848,10.7783522037548,11.3395284516116,11.4460448229027,11.7706792700321,11.6562557642033,13.9513817339984,13.9639998971701,13.0537419324116,12.146522304737,13.2724827086101,7.82901444531011,9.44785229320471,11.5120476150908,8.82539900885329,10.5277204798763,8.19314190796798,9.46929255972686,12.5242846007611,11.6071730667297,11.2622437421927,13.5515537424161,14.6001585052788,13.7229559068286,12.6270069617795,13.362414375298,6.18733110287008,13.3178218922651,13.2449910564981,13.0061804863569,13.3442536513063,13.9299612601296,14.7144082314034,13.4782625604543,13.6203541733867,14.5479435154305,12.4781934776619,14.3488717685556,14.4096922609177,13.8573354227181,14.6736387676585,14.1342943573475,12.429187781492,11.6422592659068,13.6960538049302,10.7198562689436,9.9503697783707,11.7937547830379,13.5536292939164,14.4114035647054,14.6341646899041,12.2206587267761,14.5481408289203,9.50616021360798,14.4608092380792,12.2453977289708,14.9918587959877,14.0023668824331,14.2321190928785,13.8054016011429,14.5083608502584,11.2597945448843,14.2832791739,13.6562557642033,13.9540018675431,13.0628893752457,13.6630120213944,15.3086407205752,12.7933036314943,13.5773873620259,13.1676563253433,14.9948608984451,13.3542030755817,14.0804742808369,13.4345222400935,14.6130936714615,11.8007733373913,13.5248209653818,11.3367063472737,12.1245840000546,14.740528148874,13.9300679546617,13.2591560897686,14.4647153532681,14.4812976971546,13.2419831496943,14.7869329939334,13.93871085944,14.0153197673707,14.7175721155237,14.9586538417755,14.1578275398674,13.233320337778,14.6978189243233,14.6218097507336,9.11754619068736,14.2089251158197,15.0370611290116,14.4219780778843,13.6562557642033,13.6575151366464,14.4434616122274,11.5547105986415,13.6323578492875,13.8664441633763,14.5802096355843,14.2745965503767,10.8898493104208,13.3572955002098,14.6035734496873,13.6068854331055,15.1678282619087,13.8086549639074,14.9754753770488,13.0190231163442,9.95432671076999,8.91719189517927,8.62686307057617,9.43135493625142
"Q8N9I9",8.93017057115232,7.03321059607873,13.1787063681158,12.8112630826217,11.2355223665377,8.46244459998973,12.9414026672944,15.0887205069324,14.949412075924,10.0399526870001,8.67996272991548,8.96542458507786,8.51177154275164,8.8217356195446,7.49267956824245,8.27740733883535,8.04620434745415,8.55023815817858,11.1201521973847,13.4058671244589,13.6358764855854,13.8981231512236,12.3758927847168,12.2605102970374,8.00064802177948,10.0012575101581,13.3711366692195,12.9003268490774,13.3523007155663,13.7240464949461,10.6491806086307,12.3638454291358,13.8877260348605,10.8154155929371,13.7581964256563,14.4421366559166,14.2705236367601,13.1583098822323,14.4988233736507,7.99190442042297,14.209689139067,14.0583965012618,13.6486151167299,13.1040510649884,14.4961306822336,8.22272215398612,12.8609500098525,14.6179422469144,14.0084078029084,14.6445209162339,14.7914928588608,15.4003465010972,14.8346857683985,14.6232910456615,14.5101869845663,10.5658457753926,12.7410525033731,14.181791269765,8.24863905444632,10.7025833114922,12.9198995113309,12.9262675680264,14.7855406886943,14.5067353007341,13.2153513466221,14.9492179455195,9.14471117129662,14.5101404439381,11.6071825412316,14.4852243116677,12.9663759305761,14.5902763422092,13.76157622204,12.2849801059073,7.25863279481924,14.3720166643299,15.3958179998976,14.084185280323,14.4597152569794,14.0914481058829,9.83914887061517,14.4907401788904,13.9645300549401,13.7941732399319,14.458246555551,14.4296070799166,14.9293380172676,11.7614646519536,14.3187198371684,12.4617938725472,13.7823782451445,13.2829052488497,12.1290747591371,14.43326578419,13.7232011707376,13.5459187264136,14.159107555954,13.8298490337371,12.7493593599786,15.5805506071904,14.2823328756532,13.6587089946852,15.0233091959445,15.3588398621918,14.361679603174,15.0588816414102,13.8966197375753,12.4175075119907,8.8008560118754,15.0553969300434,13.6617171682307,13.8653582408905,13.6645496105136,10.8536699987599,13.6344156542075,12.6351322832049,13.0305076725209,14.7234708200864,15.2148401481782,9.36553500286563,11.3809547128199,13.9793335193419,13.3361318364056,14.3988322097074,14.9929518853095,14.1389231244008,14.3153263755979,13.2112850922453,10.2312982039641,7.36402786931396,7.73050282692611,7.55898590713415
"Q8TAE8",11.9994646093311,10.825292973415,13.2239933784481,13.5396663576736,12.8599746026865,12.7553079885414,10.062249705373,13.1190148319006,14.7181413576639,12.8526182895494,9.2113377979051,15.3635257899804,13.9182207916454,13.2949484868464,7.12586395169702,11.2352609261544,10.8603160610166,11.9042978596255,11.2799541914058,10.2780586242902,14.4143599251363,15.1053125639586,13.8855808513004,13.1852596048199,11.7268140703088,11.9566927985514,12.7399854108107,12.286144498699,12.891235397514,14.2805247203138,12.0834767449808,13.8458681125595,11.223510445993,13.8246157280432,14.8038613470281,14.3063629929576,14.8641790973019,13.0135527490586,14.1824713216514,10.5801291977609,13.5065346514564,15.1095950060228,15.5746016512317,13.6106998457853,14.575277194774,15.6440711588456,14.3011999459161,14.1435977738077,15.1777444973368,14.3705078443644,12.3523467255027,14.9699580422271,15.2129557176452,15.1048744013525,14.8535381128522,10.4691841304251,11.8365201088631,14.3125614722597,12.408213021756,11.9895646209455,8.83720931295596,13.7481198676494,13.5416076727051,14.3104891147311,12.5657270019538,15.4107215733348,13.3344093176357,15.1178546455229,13.0589867490912,14.7201684189585,15.0020732483107,14.9999649061152,12.7703320145943,14.6843865389732,12.6121802580599,14.995846995846,14.6974552901656,13.0029130072379,13.9210816635401,13.8950709399842,16.1660818897154,13.9864264480291,15.1743226510431,14.0601195694896,14.6510784423968,14.9178100309132,15.5381321768002,14.1486459256169,14.8272547482924,10.7858775048046,14.0784789152294,12.6486230943221,13.0796771109218,12.8773267761632,14.9834265922373,13.6234888051276,14.1713562619998,15.0833821477893,12.6878811890413,14.9892103640498,15.1955277557991,14.6857849268395,14.9489045864973,15.6950355390036,14.9940664247356,13.2419806265471,14.7678065787009,15.2451403287696,13.0809158604525,14.8846475222028,15.2056662274798,14.3197987849518,14.0056953432078,14.9958427575439,15.6744753910014,11.3928192857692,13.3723506819427,15.174195660661,15.2341370985047,14.4900484264448,12.9784191727164,13.1937011249767,14.578323408969,14.6307519926149,9.68824634923123,14.6210372557627,14.6643782175648,10.2209642305346,11.774202068393,7.96843091226884,7.04546050347421,10.6139572525017
"Q969Y2",12.0130079888204,11.8680508537452,14.5847104300445,15.3193756099965,10.2477469606787,10.9529694009482,9.86654974047662,12.9362923701383,14.9389363225393,14.1155248886939,11.9978353884925,15.2612237063747,13.1193016587208,12.2203783276952,9.05419860005111,12.1947937794184,9.05163813507087,10.0521419851316,13.126675113057,10.1618218552379,14.7419935750995,15.648353416006,14.9408641390496,13.3568224626683,12.2627568500535,11.9977270681481,13.6761058349097,13.9448763145144,13.9149456560403,14.0922616248439,12.5263220747955,14.3418912629663,13.8266477883228,14.0047495228333,15.939229931714,15.506863051375,14.7222081128499,13.5538940547054,15.4199453809241,12.0785135775054,14.2911631558449,17.4155874192688,15.5610711993786,14.1788775866283,15.1419474583156,15.3572335277257,14.868677892271,15.3335833803446,15.4755118182856,14.8880833188985,15.1974854836911,15.4645776567186,14.6936143961158,13.8255451635516,13.5527542630564,12.7377005903893,11.1649069266757,14.534672849878,9.90012846700369,12.780450644033,13.1140676471653,14.1516508299734,14.1848753429083,15.1924957989059,14.7479806377597,16.5835562871404,14.4098899487939,13.4537911010367,14.168841406511,14.7552527216033,15.9080543344858,14.3265289154439,14.7952715750396,15.2938308409328,15.0230204649908,15.5818461666685,14.751259645205,14.8334831056596,15.2410120980101,13.3955317030643,14.1763530004509,14.7120860224511,16.2179752859775,16.0815042428445,16.2918361947054,15.8438020150001,14.6657800283295,15.9487512500512,16.4431378112966,10.2154791040931,13.8413006039594,13.3744284540795,13.8882207783691,16.8116268656161,15.4872433922348,15.8784025358618,14.2661867559165,15.9704823950917,15.0822193364433,15.4098286088489,13.8331865903896,13.9371843247943,15.0068634647744,15.450632683848,15.3058531371909,13.8656366240562,14.6141704893655,12.1299269335104,14.1628633376081,15.9179332365595,14.3987436919382,15.9747657061587,13.351219394033,13.9135344064816,15.6435180184935,12.2697111211428,13.874020767659,15.5480681941604,16.4064541597691,15.4180975411294,11.9406806484241,14.8258182719368,15.8836694963422,15.668580328993,14.9961505545779,13.2759727067021,14.8026129959136,9.72745701624699,10.0879788480413,13.078603316709,8.54829783385779,10.6852784067213
"O43736",11.3200844398863,11.5548109015556,12.5164156273125,12.38135921499,9.86488058406914,12.1579653428954,10.1223899052624,14.1639504908046,13.3120188964879,9.03910673614702,9.66263903621821,12.2193811762728,9.74955672962659,10.7697112480195,9.58510524906162,9.96981495740059,9.87543816672532,9.84410206565669,8.67572850887301,11.9859341502623,14.0540100719429,13.7677101905231,13.6888274375517,12.6683492009048,8.96884488529531,8.96819841823753,12.3786669067158,11.8452208372868,12.2263574945807,12.93954062564,9.08527756436068,11.6046017286467,9.93046011070778,12.2760283717809,13.6111823950519,13.7634361507832,13.797248966615,12.6957291442014,13.4964362667028,9.77966749572192,13.9619772224604,14.2308048923919,13.8016524454888,14.3262190554564,13.4130263401828,12.5779181731735,14.0363314968538,13.8505563221096,12.7709698086269,13.2686168484268,14.7799442371745,15.1068738636645,13.7622955920675,14.0393220336022,13.2733543539071,10.6747033309993,12.0226664513224,13.6742776271102,9.52381245992893,11.6964798686565,12.3835513001934,12.0147189569325,13.1952899287697,14.2974267934146,11.3840537565849,13.9837094580165,11.6578544258344,13.4067347756381,11.3142289113191,14.1190569591114,14.7816894200605,13.8470843036551,12.0351882254742,14.4298158320966,11.9796398338692,13.3897755154305,14.111843399907,13.5579210554732,12.4681004555345,12.3892166904507,14.1910663031276,12.7006639060896,14.1751781152914,14.016630155003,14.4259729700404,13.1162626140479,13.4515912320368,14.0645776060553,16.3139671973469,11.232625272143,13.5943910166728,10.6657646612585,14.0615985162183,14.9646202426696,13.7413467585339,13.0705858961964,14.2689040799682,13.717209394194,13.4683700235632,14.1970676567212,14.5002672569229,14.007666424253,13.3050016009495,14.6105888673464,13.9046219428478,13.5720592199483,14.8484569744378,12.8540972737797,12.3150082077118,15.3103590689223,14.0990242712297,14.0272185202497,10.8826181067862,13.7806540828462,14.3001750181389,13.1131284170585,13.0732070525583,14.6708329536228,13.8912712845818,14.307317926148,9.95473170196725,14.2075986490115,14.2591617856565,13.2788389949673,14.9166123557626,14.188519332809,13.2169037760392,10.8378398538041,9.77333046965948,9.79576635865469,9.27703007327784,8.29145180499791
"O60890",9.07945736728112,12.1384914216279,13.6378951911037,13.4021157282891,12.1438549928796,13.294307370053,12.9151254301521,14.7859832766492,15.2662549778498,13.4683552242714,8.50921478006393,12.2245770958269,8.14400881198516,13.9792682477396,7.70152450001382,7.17169403383112,9.99815045966879,10.0603537787441,9.32636590605465,9.98967698534238,14.7417423509073,14.7128578513897,15.3345384591181,13.5151324513545,11.8987189058046,9.14962473677316,12.9723577335429,12.1144882239496,13.9633302439816,13.9362616284118,8.6653127926758,12.3958552434319,12.5021235237776,13.6064052352653,15.6683030893546,13.9316619848228,15.5080711070751,13.6365132426972,15.1962628257676,9.86614562549101,15.945403721926,14.7000544362365,14.1390299810736,15.3637985605541,12.8131840559863,15.8377935449041,15.2801295031346,14.7391096297419,13.5975446048899,14.1168011983209,13.9140220886303,14.9766325120792,15.0186995147727,16.0601110131328,14.8026765235026,12.4219034414913,14.0094564494388,9.31735620279674,13.7409807232465,12.9386830014693,12.2760128469438,14.0237186501193,12.4480179610903,14.1736308184753,12.5851938801034,16.3355630886423,13.4771981350549,15.1134232740249,13.2740992001123,14.1089366758727,15.7648720652726,14.3930989264586,15.3905537921465,13.779333176345,7.6263239267749,14.9746653121859,14.2045488958496,14.3976085179805,14.9426099244632,15.4534058403488,16.6176600401322,12.4746614591208,16.4354137341479,15.3261174655178,16.4445020558563,15.2608615964329,13.787491278956,14.1342366572566,16.1684364068011,10.7462089450851,13.1521695147133,12.6317311654428,13.0423768086191,16.2195707344115,14.8158935834556,13.1210697789434,14.8790146040203,14.1436556078989,14.5852603847691,14.249767636551,14.8433388327726,15.0039251948309,14.1550742490164,15.2817637904774,15.2373398797148,13.8499906487549,14.8340423362622,14.5684875405812,13.8995088825444,16.9514198282944,12.8684559962774,15.3867368690322,15.0814147543925,14.3199136492869,15.4439141823043,11.930468587135,13.4046096284169,16.5589256143415,15.4907927446052,14.2971959353344,12.1650681176751,14.1134414433987,16.4144063989855,14.8607684061245,12.5756322769095,14.714591307814,14.8374691316079,11.2389121483162,10.0052083614923,10.1688809952839,9.94342614549832,11.2758704801716
"O75937",12.8680504344689,6.70801663419761,12.4785461825455,12.3643047914578,12.5683045920071,12.9577629002863,13.1423752966309,13.1964873523219,13.9041013968842,11.6785001917225,6.59308138649661,14.0540227190304,11.0762810828011,13.6691206123904,6.62682018949355,9.28557495935662,5.93100679721723,9.22987651280453,11.2520721873677,11.2309896475597,12.7030268839785,13.0663458669483,13.9246777701665,13.1351529880563,9.63909182702935,11.3335162152757,13.2139307082508,11.836212361888,12.094975380606,12.8272875702589,11.8598412242604,13.4997483065517,12.2688411038917,12.9063887477846,12.5271598867365,14.1308842208556,14.3190830228898,13.3242540651534,14.0379608464946,10.3263365990374,13.7843107471645,14.931245609532,13.1771931132923,13.2914063766836,14.2056314399609,14.3297081800594,13.8546837259209,13.9017170422163,14.0627829519262,12.1518568736168,12.5387223634671,15.2464464773821,13.8514769649514,14.8311612948872,13.1185680294697,12.5833270967993,12.9680354723787,14.0522525991368,12.5012693479176,11.8403412893228,11.5867849149438,12.6775215554218,13.9306024325209,14.3040564486364,13.6016266286069,14.1181709279319,12.2662871138896,14.23924517289,13.2544581037669,14.1955567331423,14.1951343884965,14.8507900984043,12.8678183429537,14.685334052905,12.9634330919434,13.932679496696,13.7948389393233,13.6172791017317,13.4883101735676,13.1714133232776,15.041356158484,13.5988497668899,13.4686758741314,14.0908714555707,14.6019095183325,14.9132821146933,14.4356944808358,13.1546365547251,14.0195832818232,13.0252556462787,14.5279486753718,12.0180740053167,12.2451636410691,15.3150804164884,14.4256289200085,12.9628825907991,14.5742828703419,14.8844513024555,12.6935068153628,14.7663849009207,13.313654863401,13.7171385193969,13.7808685608718,14.8213443090403,13.9010329039441,14.0222316425547,15.0176970744175,13.2671765651944,12.3244473051167,13.9971125659803,14.6667086590528,15.1677937590011,13.6860798515769,14.2831426568685,14.372976205565,8.64507789619492,12.3788968335638,14.4934633675527,13.6338798395619,14.4467348177111,9.55167619308474,14.2467951231059,13.7117198269283,14.056736608094,13.8575438721111,14.064768131393,14.0169312348184,12.2893630653304,8.19455039916549,7.93419407763469,6.75907436220664,6.75709874959747
"P05026",12.9392309951483,10.6284701653772,12.4945832305677,13.002113386741,12.0965262903431,12.2524822258527,12.6832127493408,13.994104354836,13.2630159964067,11.9765122488396,9.06635314723122,13.2268976150309,12.6737340589079,12.8348248015506,10.1426001895757,11.2522816331519,9.5999961923108,10.9630940108683,10.9358708218936,12.6082555730066,13.1807201493887,13.0759949406224,12.6128735952176,11.8296540571768,8.1354499281111,7.9239996762011,11.132866678749,11.441456122768,11.3801313101884,11.9970522522174,8.37964862422625,12.2794215910297,10.7968606202895,11.8972090305871,13.0904312516529,13.3837962668618,13.1190472503015,12.5579745761543,12.6484433339102,7.08673187355343,12.4037030458853,14.0774797163732,12.7558796942641,13.1211177743198,12.2104101752867,12.4303156833026,12.8310269848981,12.5281492425264,13.1398788671429,12.5481256593949,13.0635621099496,13.763860815824,13.6345219582285,13.6355682424876,13.136761528688,10.7489072259861,11.3630135494803,12.8976809594777,10.2216457382771,10.9946693466371,10.7051750392744,11.1401747332514,12.7868792263684,14.1937879027809,11.9569217745457,13.5070234186561,11.6082541422995,13.3881683444481,11.5882001020391,13.0081281096151,13.4261052678026,13.0519424569284,12.1753837670501,13.9885734391262,11.1229457807939,13.436795495925,13.2304274388794,12.1233010905575,12.1121131746205,13.3066136557086,13.454153312044,12.8421313576281,12.8915239820866,13.0200849100686,13.8697040063113,12.5224228514503,13.5124877505619,13.3521819058663,13.1444788662161,11.0829812016343,13.2741710748282,11.0308363986978,10.9468592975162,13.2681886843301,12.1541230574392,12.0477018114415,12.7814654893855,13.4350355878071,12.0869492263124,13.7048323422976,13.6511691188966,13.0659639456526,13.1305603983047,13.6042602958688,12.8798276679541,12.9625117143575,12.9167614555288,13.8043101576684,10.4889160858722,13.4011478148338,13.0082870972782,13.0912727450597,12.4289398381192,13.1018921470977,12.8558592038148,10.3454369472939,12.6325158413507,12.3441362576945,13.5412099806802,12.6422125786217,10.9447009334593,13.1242249170654,11.3874391161506,12.8519084106476,13.2779215951641,12.6729303422026,12.5645580637632,11.4277398772589,8.50488483897548,10.6278890624508,6.22225322043967,7.73945208964167
"P24752",12.9671530908424,10.8795087122488,12.6959916588693,13.171676426367,11.8817223523675,12.5847578656644,12.1957285019125,14.545038555626,13.8501097448495,12.1613086742218,8.17470533233026,13.0392149603506,12.7566889079097,12.8515170098747,10.696734907759,11.0425327563864,9.80854092501703,11.4152498587964,11.6029415950891,12.9096864297181,13.0887576500693,12.8817668625762,12.5967813514808,11.7427695403257,7.7232551935981,6.44417990149573,10.8632735965105,11.7184869673577,11.4442035543944,12.2558510809984,8.76328115869836,12.5704828329166,11.0430470739962,12.283250104841,13.8617534551876,13.2167184391876,13.4988402446573,9.99916055333013,13.3208144230934,8.10162547507359,12.4237539754335,14.549471235794,12.8308762617429,12.6182147944039,12.9049025902345,14.3552224744611,12.3335051659281,13.5264551321598,12.7253205572894,13.7354690321362,13.5900699258892,14.231082640856,13.2463395895492,14.4348197487194,13.109587481902,12.0521212717001,12.1289127980122,13.999989822326,10.810537490376,9.63677833988056,9.58974542670009,11.7998166182527,13.6489226979146,14.3215053270152,12.424574216682,14.1580574254881,12.4305602293568,14.182017257976,12.6364412745736,13.4992233379106,14.0379998103508,13.8935506571488,13.0332258186766,14.0572622329109,12.4968584275615,13.5066530184127,14.1690725987697,12.4451475818258,13.763667738459,13.097911017951,14.5017278675686,12.7918645669016,13.5956174706266,13.4688629790543,14.131742997924,13.6889520664921,14.0985992358886,13.1880190890886,14.2367565006312,11.2949987905725,14.1076900628179,11.0035362185015,10.6905421933542,14.5411322271605,12.3917179788019,12.8786512137417,14.1108094186765,13.8677033326378,12.0953848930984,14.2834655807591,13.2136676617519,13.5094477628383,13.8442961145211,14.6605649025179,14.0719567195704,13.1822337486106,14.2641742158899,14.0523372978968,11.4982136158398,14.8840523566898,13.6535828333071,13.37838249337,12.806794861851,14.3801096817813,13.9411634771913,10.0517340772505,11.585640056584,14.1490479723111,13.8803265470823,13.3746325345758,11.5385498829223,12.8298093273154,11.8123657098832,13.7617427897435,13.9146960921107,13.4882191101378,13.5200698647206,7.61464390972538,8.21230976464889,10.7030884249941,7.00873420846623,7.60350631624311
