"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"O00151",8.24828338959911,4.60872383232408,11.0602589813754,10.902395750272,12.5931056060992,9.02029414015584,10.9857321301732,13.5554805528882,11.5874735936061,5.20467668715178,5.44297883486523,12.863946885382,12.4707303195536,12.4009773728711,5.37213765853188,5.41312942511992,5.63484498365299,9.31060783184317,5.85399415198966,12.5152601878328,11.9056476823235,13.2120175496944,13.5219332477327,9.7422655915337,4.9844120927582,6.7407545400897,8.26268736457468,9.94681798218564,10.2986139062965,8.16670144722227,4.59746134636674,13.2167458581953,11.1468068420189,12.4006410568006,11.3258117412272,11.4161220178314,12.8187523896852,12.0171563863831,11.1327471033408,5.17915321863966,8.09162954995422,13.9921417316259,12.5775116279327,13.1654602059517,13.6172457993832,13.8610874998012,12.5069759558201,8.79230558940191,13.4695722733106,11.0029048967426,13.5358828716317,8.83892494587637,10.5201702156961,12.0699650870581,13.014285962198,12.6684599353819,13.0785991953436,13.1222036327523,9.4824536825388,11.1136402486876,10.0050059081984,12.0328574141804,13.3550453976747,13.494704166823,8.77823143276754,13.7902413795398,9.43859671053701,10.9385160834356,8.17790279605768,9.88417051910844,9.74349735189505,10.5236769430251,11.3704037175255,13.8350061396321,11.5155724415823,11.6870054374908,13.9456810055022,13.0147086936837,9.47938638327624,13.1083138664305,10.4882067795252,7.7158758060611,11.3099784174165,11.0111136152252,12.7395925647102,12.3459318560377,11.567480801143,8.06654441132661,13.7630726519944,8.93545037573035,13.227712889523,11.2732128098543,10.336039947212,10.2828597591063,13.7022056633012,12.1968977518149,8.49383735890945,14.6762950570643,12.0233069753165,14.5199901376779,14.1375189037189,11.2954531670677,13.3518412664991,12.0902040626173,11.0206601534815,12.0755333535456,5.48573192057767,10.6954340435889,11.5785940184935,10.3538909948991,14.2973426736087,14.0770712631972,9.99041022335168,11.4437139272083,13.5785365262202,7.97244690287818,7.66623275634556,13.9830798531553,13.5250683529561,13.7695985899561,11.8353249094908,13.2278737956575,12.325941381865,14.1069922076115,13.9994011566941,13.6855898961487,12.75831447236,9.86516840927512,11.7801789915769,5.76148660808632,6.27571461271016,7.03472331766565
"Q5VT97",10.3757204284563,8.85681829310149,12.6893264312276,10.0261722039408,8.63128888680493,11.7216596113741,10.3447957183133,13.1037287750923,14.5398196873145,9.50384482607816,8.52158572748449,11.0025624828336,9.31987556996688,9.41184538316493,8.24774398584689,7.99793741828738,8.30175019025796,9.08724684000871,8.24465798821783,12.0396122711863,13.4625165916265,12.0809901144579,10.1154893914849,8.64692395079903,8.13655720142859,7.44474049177145,8.7180142895807,8.92408166751888,8.65304021205551,9.15441745255569,7.28887448766611,11.2651899529585,8.55271866972012,12.2373502367029,13.12756567619,13.6247096034867,13.0608970644717,9.83061987442336,12.4190474533307,8.64861464888399,11.3253755577904,14.2131338188052,11.0134564556758,12.9224720032633,15.3301275501405,14.8632462634156,10.9975325024521,13.8135115094234,14.6962788816303,13.1026702008809,10.6527342405537,14.1315717960198,14.3342428990656,15.1911133476637,13.3204869561388,10.1975152202998,9.31676389046759,12.7275618464525,10.4609970278458,8.80123860368742,12.1350616834704,12.3380520924532,11.6379375488283,16.0980921533451,12.9450426041914,14.6167449237172,12.2382364701279,15.4899300990889,13.4083241442425,13.6413085132884,14.8581859913216,14.6214244769344,13.0114534399283,14.6157137684415,9.75095386823961,14.1237319286048,12.9578403226293,12.9533845716699,12.8654313108629,13.4902551539601,16.0207695191635,13.9980608984783,14.2424280194231,11.295633440995,14.8449285384192,12.9808269503304,15.3407210853386,13.2619347892444,14.8932469895617,8.92786143053821,13.3257051687811,12.0876575763525,9.17322818820602,14.1796097239163,13.8690437331944,13.4850244045854,13.8466361465468,16.4088413557878,12.5296837210322,13.6616777291403,14.2708698617388,14.1106686871427,13.5324194683418,15.1402079032756,14.7943257679462,12.5435229982417,13.8524899133422,15.1227463403455,12.2736768983364,15.3122806138386,15.1150759315404,13.8232737743473,10.8801765629216,12.994612544716,13.321291898588,11.6979309620491,11.8075378996894,14.8597297557286,14.0792194673017,11.660371792329,9.44450431025358,13.1461167287887,14.164660817606,12.4568005452732,9.62029002569671,11.4241686310274,13.2751276131367,10.9959847024387,8.80749207838961,8.03187511441783,7.91106856540448,7.05382830397262
"Q6ZMI3",13.3512460199871,12.9346724712106,13.6000134010204,11.5366316527254,11.6163829853629,12.5685530427062,12.0413671897082,13.6483715999757,13.7537248546899,13.1963508793203,11.6193085514336,14.5351349341738,13.3117950560857,13.1376446188737,11.1222138122899,12.7713313445837,10.9693880610819,11.1707398325133,12.1418638212229,12.9706251609583,13.2539479198623,13.6511193571414,13.7648375373947,12.5439464673715,12.1082312219168,10.7039072936239,12.5424541589768,12.1723671484694,12.8141660221375,12.3957484290966,9.16485811964136,13.0627763141021,12.4986144635539,12.5873862225135,13.6192362103173,13.7769922819185,13.2653302390071,13.558949582519,13.8386803305979,10.6528641131091,13.0603265456951,14.553687631094,12.8310039455783,13.6379851943071,13.8004032193679,14.9691389107806,13.4676404709856,13.7856912883766,14.300115489955,13.5145646501706,13.4231814609578,14.1954111470625,13.6466564605152,15.4803088848899,12.8420647197586,12.0190371165981,12.4120618254247,13.5494297549777,12.383035198578,11.388508050052,12.7345178146689,13.910522480702,13.5941230038449,14.7755248426632,12.9477761339771,14.9525449495233,12.4742417417391,14.6684039626699,12.3714753699958,14.6323920129281,14.26423492042,14.1008219496087,13.5217940728269,14.4366234476979,12.1280035757329,14.340713027365,14.4078593384125,13.7065901335398,14.0897912867855,14.2109508624968,13.7859998005288,13.0689501908181,14.1448513021046,13.6011727249625,14.6116863614165,11.6535909081682,14.1969915323928,13.2539111720691,14.5208238546413,13.400641947933,13.6269823674978,12.5548739644624,12.5330028004863,14.8558731843497,13.3629231073115,13.5059585536777,14.6689873626074,12.4797191615896,13.7566418695933,14.2854001351016,13.0763576446915,13.2036434982291,13.6390244570014,13.6115810371378,12.9067854174242,13.7801014162032,13.931779849068,14.2069896296508,11.8753569522005,14.8633033556566,14.1726298709103,14.0693325386737,13.9672594344149,13.6590267784393,14.9151268542056,11.0534889477036,13.1298916450019,14.9276757777293,14.828013275714,14.5210117556459,12.7046027888137,14.1460353623518,14.4017574217758,14.449277443713,14.8431522817104,14.436832315411,14.2749648860035,13.0957793653687,10.2784314265119,12.6979547773458,10.9471880643258,9.98028599314204
"Q8N111",12.3865057848722,11.2018563232839,13.4902730028124,12.2077276816708,12.1606943588821,12.5592924244526,12.4087841422935,13.4278932467979,13.6359229642523,11.5615658243004,6.30337718196544,14.493331200918,9.18803396695284,13.7103620987656,6.28675768437802,11.0558363962072,9.93746236318882,10.0155728714631,10.2375743924991,13.193514303752,13.8916118380105,13.7288886598806,13.8331742515241,12.4476741146187,8.37567350704813,8.58975565460706,11.2856907454339,10.3339380441626,11.1147784265644,12.4417614723105,11.3375542358769,12.7528706005694,11.272863020774,11.7184006924559,14.4524917803409,13.9533479818983,12.8055679513349,11.9117112594318,12.6257399271124,8.72547124681828,13.0547008273494,14.3727887181605,12.8771532007792,12.7968620708067,14.1277620008795,14.083267972448,13.5778327191693,13.3001204705563,14.545110543614,13.4553498383611,12.0463852100642,14.4109865370224,13.9463815740349,13.9787950774253,13.5768194780821,10.8041277877664,12.2697004766821,13.0308207039926,10.6249805363983,9.21251593026651,9.48073887724973,13.2114195841067,13.5329541106675,14.246296094232,12.4983851362747,15.193413238214,11.8392584536438,13.9527676565894,12.8384853657762,13.0223076199526,13.9343789459565,13.2159975636591,11.4188974767607,14.4139540860982,9.13577802720583,14.1035905868091,13.4051930615396,12.7743713102832,13.0317331917053,13.5589013332226,14.0470468413299,13.0806358466332,14.1412662129935,13.1833911995825,14.3993470629459,12.8384958309778,14.5177536340835,13.2804734962832,14.4268836183871,10.8376560860486,13.3030534186997,11.85520633683,13.2781654690539,15.0560308318516,13.0746498287727,12.905535328464,13.4588430227805,13.79579265362,12.611887606751,13.5652874230422,14.2146035872689,14.0202536265985,14.5365010018657,14.4576808618408,13.9113398099154,13.0879346008603,13.6786871047452,13.917287649413,10.8562659258053,15.4268971596449,14.9318892208264,14.3536097926868,13.4427018858676,12.5900891334757,14.8104291811428,10.8595985436784,12.3045759368686,14.8299724517234,13.797762027534,14.5413452535573,11.1395594445017,13.7156811038439,13.6105678610163,14.0069826225194,14.7285870502578,14.196608452662,14.1588005904013,11.978655709981,10.7635764764335,9.75579050731394,7.05407536418567,8.15945932102737
"Q8NFJ9",7.05811355137475,5.17631218682447,11.0916854482197,6.70646091664362,7.65962265707993,11.5968320901702,7.89837841304308,12.3956038753716,13.9008354637658,8.25105740979775,5.73158415074711,12.9388283085741,6.94360166533886,9.20343730585106,5.58480247203759,6.53946785295521,7.3871157805848,6.14248055705724,8.7076858592017,8.08320150852083,9.80240924141131,11.973136651984,8.07117676356586,12.3712199357402,5.53021668148607,5.40656547961941,7.48950038848881,4.75068137169689,7.81920482300393,7.08013630273038,6.13675471896458,7.40296397572679,6.99209889660552,10.9916882349177,13.4306516462564,10.904536303457,13.3471823411421,6.28957226112743,11.6349468393771,5.37807646420342,12.6325602098529,13.8758035745355,11.9037928162314,10.8284679212995,13.9194312952514,13.124960273464,11.8518264900983,10.0349046249554,12.9178115520832,11.7401621714223,12.0401614983565,11.7049013089675,11.6810013258861,13.9702364556904,12.6390033893515,4.06586470274023,6.41804728030144,12.3996949082192,6.0985873696351,6.95369481132505,10.3861151220786,10.8596235910265,12.765967089497,14.0207776150459,12.0552045400776,14.4881376853139,10.7255551613744,13.8109327076077,11.889928874965,10.351060032562,12.5006648293746,13.6339950423694,9.54503283657088,13.3383022985618,9.26830221474288,14.3479901933375,12.9068983574219,12.458637544884,11.911114403596,11.6253040471639,14.1118592039048,12.2192976962562,12.8092272534391,12.3858835946436,12.9617060873572,11.7421247639777,13.8903266379394,12.3352648497187,13.2727802390522,4.6329145048507,13.0557251088177,8.29104291361869,7.13527714070385,14.0824105888216,11.8413909898734,11.6164335728139,8.63484760684558,8.824620320987,11.7585235849544,13.3544599834524,12.9114051573735,12.6476774307091,13.8749609011512,13.9755299110467,13.6251023709351,14.3193152294787,13.4579917060792,12.2198474678957,9.25745990680019,14.603537500007,13.476594185604,10.4506801452153,11.2248332754271,12.6584315647806,12.7017817722973,5.05612750358882,11.7823341587796,12.8231904375442,12.947905987746,13.0357511782577,7.37076491658278,12.597452582032,8.22271622168295,11.8303282255485,10.7046993172823,8.44965069389734,12.781306050776,7.48799887823604,5.78976733084451,4.45123429197218,5.2501543798616,5.34229607065863
"Q9BV40",11.5653781290895,8.86024429771009,7.07354576837946,12.8664464831866,12.2344185138642,11.0249747836121,9.98228563617599,8.9657181499924,14.1342064397276,12.3996879821953,5.32147938108669,14.1731467563671,10.5704672861632,12.4559766538521,9.35742058547661,9.34062478196931,7.86441805890944,8.05286381403176,11.0368367254912,12.0902303076863,12.6554081415629,13.2022507763404,13.3247382706901,11.8210365438305,8.35122322828229,8.23099178720296,11.8603972497231,5.65971842579949,6.72712707902691,12.1476262150096,8.54232022785244,10.8793464864936,11.1219138326422,11.5269092800227,12.6938024042564,11.8262221887281,12.5147841436015,12.4262755291407,6.03999613995297,6.61036957718951,13.0455309096917,14.0306511450195,12.6369160254398,13.9586023399184,14.1933206689806,14.3411071555467,11.8579373166871,7.87418118775735,14.5287906008544,11.1515909575793,12.1715297374548,10.2887053543209,10.7178185715386,13.8167662375922,13.6573297412377,9.05606286709763,12.2034389980529,13.9020035423704,8.62407032839313,9.2032284403228,8.88779413558288,11.7003269437073,12.6506927216466,11.6129973537113,11.3939388863027,12.3738517138072,9.37827829680503,12.7895993301334,6.62478059383685,13.2441400603381,7.81403951600208,8.36796091198185,10.1564296660703,12.8787292488679,9.71557233160478,10.1548852259973,13.2377740159072,8.06949174586149,6.56677285741631,7.82922237661895,13.8295588939344,11.4830612319506,11.9749589199776,12.0632693390246,12.2462153882512,11.3941542332038,13.8810140614276,11.7388326034306,10.8727731852298,11.262474612078,11.7939238510475,7.15126771454073,9.98576209651956,11.5861413145996,12.0468945883436,11.9844184588011,13.340030690872,14.1048934973733,8.35059677048064,13.3494425294249,11.9357856463807,13.1312198876656,13.8580299076902,14.9371498588563,12.0145820824662,12.9175399374527,12.4114523486563,13.7200151786435,11.7724660560789,11.094243071243,14.0656105654046,13.6610497223039,11.3407130921165,12.3253003235558,11.0536704779401,8.41185494616052,12.3031236076499,13.5205937652897,14.2088154748665,13.2243317917312,10.7745240461109,13.4644063427158,13.9522388434775,12.5466935082397,10.831552464857,11.9664288066384,13.1280239083266,9.69354312908185,9.8096593883481,8.17789330960195,8.53722779199123,10.0469184841744
"Q9HAD4",9.35603164824226,8.78695228553029,12.5163808409317,11.9425640187902,12.5664157180889,13.856047494166,13.2393996562933,14.7501584578062,13.867616253376,11.6723553830947,11.4501802471648,14.9284409291979,13.3704541684572,11.8373766897038,11.595391044364,10.7024657461548,11.9143851321554,13.7579619473114,12.710206521532,9.46642925784735,13.8449975351863,9.58058640550599,13.9925921596908,13.8999310314193,8.58086491684821,8.71556435143453,12.6842903170225,8.53145736581176,8.51563455566166,12.7660285060053,11.295129797781,9.46347268031448,10.820968017496,9.26199828244382,12.9728003352245,13.2670390476407,14.5865835584635,12.9293036954813,13.0060115823224,8.61502798070227,14.2106868969435,14.241294188682,12.2320990190929,13.449285041701,11.7243460667441,14.3820460847363,13.5759502699035,13.9380174084695,14.0100277512528,14.0586801567766,12.5792197536928,13.3937581815192,14.3907196308813,14.9222377559969,14.122953422223,8.66645028049514,11.3048037129451,13.9946812711331,12.2789200487884,8.65247853665611,9.42521511946678,12.144013142525,9.09212492423135,12.9388723888472,11.4780578477065,14.2978865442065,9.46725938916419,8.7954178759136,9.44770061088181,13.5339152480809,12.0660400383958,14.3806510097747,11.7608101207823,14.1601206716765,10.7190864117435,13.2981514250287,11.8857910314662,13.5900062685195,11.3693386929783,9.4646172596942,13.1405415121355,13.1199507658505,12.1393996754161,12.7393116284402,15.1579227753207,14.3689727622184,14.2607934702077,12.3083983098415,14.9503583936935,12.1241806700953,13.023234556846,9.81345311352088,12.2423228951248,10.1007832353451,12.5493715397855,12.4263682656094,14.8098072883665,14.463372204897,13.4560293683579,14.5778405141523,14.7870041645282,11.8835385287383,14.4442626911673,10.2786871747773,13.9550399306784,9.67270371333211,12.8438578505887,15.1984677255426,12.5942499337841,14.1773968651551,14.5526711026662,13.8482155252932,9.37690102322741,10.3831335695067,13.8609144218516,10.5945662290976,14.2075535437062,14.445337502176,14.2782540682166,13.1470621110518,12.0412738794731,14.2943335944483,14.1560505788312,14.381898512647,12.2700469848318,14.0407710029357,14.528214335992,12.9913118087037,11.3745293340898,13.2536004429826,9.57015243812635,7.90172083737011
"O75676",11.5007362031507,9.63019127218156,15.073083814773,12.1461248194585,12.437588467973,12.6933787459221,9.57611769989677,14.0481106489279,15.6748010389381,13.1904720091164,12.519564928711,16.170390258341,14.0106205295681,11.9452625252625,11.76591775391,14.3116020954327,12.6099178234486,10.4001761326514,12.9419633584683,11.9262167920426,15.5608863335254,14.8979098383708,15.1193798533289,12.5421972177197,13.1134761158412,12.5723786225287,14.088377405063,14.0915568667339,11.3028888987425,14.1114440519015,12.9316095913548,14.7771800645046,13.7806103155209,12.5044203279939,14.7734030969531,14.3595615158589,15.0287986765579,14.3589501559089,13.1249034921422,12.8253559270499,12.6880336490649,14.6962503051897,14.4145259534106,12.5748253761665,15.3028565178652,10.7502543037843,12.8786855419425,14.0009674392409,15.5198965882589,13.9251711584207,16.187952527002,15.5207152081936,14.5524796070731,15.2884217919973,13.8536954294715,9.45601601043023,13.8492904824337,14.9011693891612,12.9082016130881,14.0502791722468,11.085067682846,14.4798375089045,15.0031496853234,11.2909423045057,13.634315286892,14.4785146822538,14.5434771020993,11.2220545154142,13.44601483632,13.0568502032452,14.6335225273468,13.1340118236598,10.281711728339,14.6995516143487,9.64245400665338,14.1310682761058,15.4415541182968,13.6413561362868,13.7759360137752,15.389375339512,11.1419333481573,13.0157624121641,14.961722621334,13.954151510944,13.4213009322589,14.6029184810095,15.1066625669047,14.3109220993815,16.1131882643491,13.7447925586126,12.356747007912,13.6221210043153,13.7802881000609,13.8140888421417,12.5001329738595,14.4002227420269,15.4328167936629,13.7882345861925,9.12009775469758,15.0386289121608,13.8878463102176,10.5154919259608,15.6311409286374,15.371622196852,14.9971602092286,15.399961359602,13.7893096334669,13.9590413071809,13.3277042545233,16.1506318173338,15.3710884719467,12.7842788412661,14.2045031354022,14.8153723568871,11.5788863490168,10.7098746661742,13.230521233924,14.7613628618238,14.6325824572085,15.0650701805935,14.4819826769382,15.1885421951133,14.9732762949357,15.8819696267275,15.3444470120479,15.0891905373261,15.2053932684749,12.5967122123222,12.3347193496854,12.958800696639,9.23863973547758,8.8928350171659
"P56945",5.50503949957217,9.91209066334448,12.1244111769118,11.9440090136846,12.0465518742655,11.8724680891129,12.3328114085653,14.4711893525674,14.0649416626369,10.7873430962131,5.84197213535132,12.7010538611768,12.3568819052222,9.97017566294717,4.88430499360944,7.76764284896479,7.11280001233114,6.06710232987624,7.87286129073171,11.4801032091496,13.3435536468132,13.988009226918,9.43184295642453,11.996174657965,5.63180131409362,7.60711141811584,9.61535446642873,9.84175466854527,9.15649723331762,12.0974084453345,9.22029656018691,12.0710155993388,9.87672422541649,10.3150608225432,13.5211849385571,13.3312708756528,13.0658734971327,12.1022508457607,12.4531207393619,6.81722256569377,12.7056743761178,13.0096219295927,12.2092858656335,13.003104944463,13.8706163587588,14.7581591475164,13.6572810419363,12.4996501385687,13.5160643181932,13.0604457484835,12.9142771870836,13.4709779727284,13.9678202291431,14.1608883654779,13.7212140315667,9.52893560107249,11.1889239785229,13.18201770561,8.93273542323234,10.1933394319615,5.4634477193658,12.2246834560783,11.2791646781439,15.2499307192677,13.0883585471815,13.6940307960605,11.1526775792771,14.709597535003,12.0264080402613,13.680556860431,12.9211118453074,13.8940187711837,12.0723717245999,13.9604551973622,11.8170877952487,14.3220445789575,14.0406867137182,13.2956562547791,12.6889288396915,13.9515353092536,14.9508149074399,12.8622062783235,13.3188698655059,13.4150583207788,13.5519450238229,13.6006598391389,13.1238718762997,14.2541526457934,14.410703977778,9.11165714337364,13.4660579377842,7.6329792972094,7.71183194452873,13.5988077874872,13.3555521129609,11.9052926546986,14.0750045194554,12.8054388377368,12.9386647874158,13.5521237143691,13.9241080722654,13.8499894310916,14.6616329876023,14.2630908009357,14.3938908849594,14.5995937009439,13.8327165662846,15.0295370268218,11.6835320999091,14.3677507382353,13.8099305796308,13.3569467564783,12.3614705820384,13.1585801920512,14.2933143530983,5.64514763862636,11.6268868192154,13.586166587495,14.0673819402698,12.9171180466673,10.516733604903,11.0336438869568,13.1585393905789,12.6395287402912,11.3836075176776,12.5151276589151,13.7654796022914,10.5645630536907,7.51487943113958,7.46511036755025,4.30920760881147,7.5244480901437
"Q14160",10.9857590687579,8.2955422146264,13.3799893791933,12.8463884994332,12.0526814198774,11.8033575334585,12.1359051340706,14.0263797180493,14.0934429436449,12.3380268384456,8.18215252912532,13.9345200404082,13.2479349862291,12.6724897436488,8.67421854474638,10.8844111940891,9.78785083346931,11.3060451141603,10.2418050319493,10.7391015744401,13.2186231914998,13.8098246759065,13.1733938926892,11.8447688545164,8.78489461803,9.87510322938417,12.0769664409618,11.1962624579401,11.0298026917689,11.6263369202013,9.4107678939713,12.4939978680188,10.3228778471937,11.9106172927855,13.5105616984539,13.9250198318726,13.7674183133288,12.4107091921325,13.6004805236502,6.54441481512868,13.3267837027513,13.5047404506918,13.316485742048,13.9967699842195,14.1575313005636,14.5520464651746,13.8923378917788,13.4865258071258,13.947296855852,13.4171817533635,13.6072891484142,14.0435887076355,14.3664459844314,14.7110014711803,13.9908587872102,11.3338252698666,11.5527132267061,12.5078882695983,10.1938924026901,9.98892367058359,8.69729595242704,12.9914612939145,13.4476491570871,13.584506017919,12.7652874536228,14.660875798451,12.4976956720729,14.8771588808017,12.923105782999,14.2170585039339,14.1741122926613,13.9212812511213,13.2723498492829,14.1467741676393,11.8128058469926,14.269393300857,14.1472532526711,13.9511247244705,13.5312965959768,13.6071725116151,14.8737210520987,13.5451245890836,14.1059896181516,13.6561249254344,14.1106213127847,12.8439271232628,14.1925232511864,12.1652190948221,15.0841437621024,12.2289353659972,12.5265938454103,10.0726837489844,12.5573189740548,14.5879065942813,12.9979096044948,12.9002148388498,13.8010208066974,13.137057463687,12.914914096743,14.2899495690662,13.9656810948708,14.1815413742645,14.7429818038369,14.0489481953749,13.8178703363916,13.5353085628408,13.8189168592501,13.6002140555213,9.19859866611137,14.798617392718,14.626852619157,13.7248646093006,13.029100295998,12.8976532464688,14.0072729002947,10.9085428866909,12.1291353022125,14.0562139946697,14.2839171637973,13.7939234819201,9.98713804541352,13.7387552696048,13.8639975257421,13.1195136899207,14.1364805121944,13.6969327154061,14.2007624975113,12.2516533263772,8.72905401136137,11.4468838789459,6.35473077885946,5.02234651368386
