"","HB1","HB4","HB9","HB10","HB12","HB13","HB16","HB17","HB19","HB20","HB23","HB25","HB26","HB28","HB29","HB31","HB34","HB35","HB39","HB41","HB44","HB51","HB59","HB61","HB63","HB67","HB71","HB75","HB77","HB79"
"hsa_let_7d_5p",12.7802269981777,13.1043852402143,12.5072215266768,12.7357268460762,12.7284234508501,13.0650180479731,12.8016767345913,12.5597631625751,12.6553109914217,12.7084538143336,12.7517876437321,12.4561925732242,12.6691276850171,12.3319782065699,12.8777832448748,12.8412933506745,12.5239833642311,12.5332072749585,12.6885371426927,12.2136104855975,12.1372534699333,12.3777246094296,12.5700511986185,12.6762476734783,13.0608297193637,12.3140057950147,13.2475767191555,12.8107111497948,12.4032450150168,12.6608745970097
"hsa_miR_1246",8.07063714509112,9.57971114379188,7.53294970460597,9.45679744193108,5.17674753356243,6.3198836555567,5.17674753356243,5.22429745258893,7.88642042592634,11.1826817485642,9.56350204647738,10.0599544899712,9.09163506587878,9.07197513247365,10.1011110419924,8.15376994185817,8.93023733064619,5.17674753356243,9.00756980537881,5.17674753356243,9.55473409127171,5.17674753356243,5.17674753356243,8.87257558678645,8.64072059780961,10.7636853806662,5.17674753356243,7.55517805854171,9.9721617824944,5.17674753356243
"hsa_miR_21_5p",10.0506049556108,10.2332617872336,10.8304845167385,11.2351097574406,10.3934823512703,10.4302730070561,10.3648852621384,10.527350800152,11.4623024977142,10.1128643589963,11.1009049647088,10.7507928245294,11.6399859705589,12.2079836686346,10.8228079601813,10.5808396241775,11.60205064421,11.2083215037149,11.8295954316952,10.8709063607714,11.328837467844,11.0434988768926,12.3523599501905,12.1930556096511,12.3651450799162,11.7011999135985,10.9010820095286,10.7017835087477,11.8761839382314,12.4018246463045
"hsa_miR_223_5p",5.2367544694464,5.2367544694464,7.89652295552994,5.2367544694464,9.83172777731671,7.55228422776229,5.27505811273871,7.87781347721199,7.65109649636042,5.2367544694464,5.2367544694464,5.27505811273871,9.15095677731575,8.56805817886393,8.74355618331916,9.18103190060226,5.23675446944641,7.87889987190405,5.27505811273871,5.27505811273871,10.4791004157104,5.27505811273871,9.05915784000283,8.48905516231744,8.34981514610392,8.55723691645037,8.01695595947412,7.31790176345217,8.7116443941762,5.27505811273871
"hsa_miR_25_3p",9.77191041315517,9.655132105484,10.9906760942287,9.31707003867638,10.0022937765451,10.0100889047122,10.4543926771312,10.4386728445322,11.0962708394742,10.8001031873929,10.4370198943264,10.5013165515784,10.3550249573241,10.3128500885101,10.5332165464838,11.4690037775848,10.657379829388,10.9427770295772,9.60846834148686,10.5709895809732,10.3379593558473,10.8962358920594,11.1549493562486,10.7834421558333,10.6101418268631,11.3153046295136,9.84588205972276,10.5514319536203,10.8504899861051,10.4771249641772
"hsa_miR_378a_3p",7.88672497615765,3.95998639127039,7.67109097898025,3.95998639127039,8.11507150674145,6.44869086210312,6.90096347221626,7.5171150982912,8.22969556022247,7.4521928479213,7.36063078953144,7.76635248325241,7.63823333366336,7.84910410020815,8.74655218396777,9.42711332192664,8.13166730359394,8.02669406095701,8.81300363649641,8.25353240892729,9.22167517534857,7.4136049503317,8.23771974202085,7.82809824475776,8.15309875395288,8.25063638897489,6.56276619611756,7.80042350451284,7.95618010218161,8.51710019624672
"hsa_miR_432_5p",5.71722478187573,9.33968613122418,5.70918942119615,9.93489791193483,9.56281847818967,8.88983391563047,5.70918942119615,9.17797126181902,5.70918942119615,8.25258069672702,5.71722478187573,5.70918942119615,9.62838384769043,9.38035846570339,5.71722478187573,9.14632304040013,5.71722478187573,5.70918942119615,5.70918942119615,5.70918942119615,5.70918942119615,5.70918942119615,5.70918942119615,5.70918942119615,8.4741942380614,9.68517342789611,9.00565024624354,5.70918942119615,9.70346848907731,5.70918942119615
"hsa_miR_532_5p",7.7969974119262,4.92719047876627,7.89183107393957,4.92719047876627,4.8791211292052,7.41116895140416,8.20180444210931,8.10435758338748,7.90733153503634,8.0484848520632,7.94964225692692,4.8791211292052,8.05827369623634,4.8791211292052,4.92719047876627,8.09934793009937,8.37980430576997,7.89264863618608,4.8791211292052,4.8791211292052,4.8791211292052,8.33864859645912,4.8791211292052,4.8791211292052,7.72436299256368,8.35793001980898,7.55969822411718,6.99867615788594,4.8791211292052,4.8791211292052
"hsa_miR_98_5p",10.7839432193756,11.1595739469691,10.5581065756088,11.4443868604011,10.2421480343339,11.2677177778541,10.6958628616884,10.6612544700818,10.5558120796497,10.989807809097,10.1389660747883,6.9812836299935,10.47731283742,10.5553972803405,11.0869933679868,10.5089115501331,10.9644005173509,10.0307380597708,10.6789209324313,11.2224892095686,6.9812836299935,10.0837744134694,10.825796784036,10.5029438008079,11.0513566425169,10.4327186835084,11.0214386578939,10.5856736700937,10.63632928101,6.9812836299935
