"","HB1","HB2","HB4","HB5","HB8","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80","SB1","SB2","SB4","SB5","SB8","SB9","SB12","SB13","SB16","SB17","SB20","SB21","SB24","SB25","SB28","SB29","SB32","SB33","SB36","SB37","SB39","SB40","SB42","SB43","SB45","SB46","SB49","SB50","SB52","SB53"
"hsa_let_7a_5p",16.9679066993734,17.3442237600354,17.3507940848838,17.1194629392332,17.0064896092826,17.1884002845049,16.9411143513028,17.5361005515759,16.9477726475132,17.2567033572426,16.7542486389639,16.9835091039644,16.6796225449551,17.0384407015151,17.1650014288057,16.7145144176719,16.9083680520344,16.6880423738467,16.8582475850214,17.3038287046868,16.8241677171074,16.5923736938322,16.7797341910432,16.8684298469202,16.907189136814,16.9172384345247,16.6887760449581,16.9640716322128,17.0871146205853,16.9479698635106,16.6507594743198,17.0388715937053,16.9119118168539,16.6213644203527,16.2731759978666,16.8625640893577,16.7344626150443,16.133350517736,16.6061558176349,16.309921874711,16.8092375857822,17.0370836910733,16.7920064738573,17.2208291603689,17.1735278264285,17.0833251867038,16.2241742162539,17.0751474983117,16.9032428228157,16.857372765731,16.7615546653854,16.6849509599361,16.5803747617525,16.7589267736461,17.0959337245341,16.9766894425129,16.7496936138798,17.1135404632395,16.2897494094125,16.9253910269293,17.2331702052146,16.9181923980822,17.1298197912613,17.3140555158361,17.1710044063614,17.0707781028834,16.7572978918799,17.1785403509397,17.1552315967505,17.0383372111447,17.1822872806011
"hsa_let_7b_5p",16.2159543216365,16.6058493095009,17.0075542191326,17.258242380021,16.4205513044639,16.8820876315735,16.7478303601043,16.9499167590117,16.48094654627,16.5908009165363,16.3255932802231,16.1922300996883,16.1277766921451,16.6546016849095,16.7764873867581,16.3961192019052,16.4767800697391,16.4745759188007,16.5712500687711,16.8207704343133,16.4580369220453,16.0238999478482,16.3605544044391,16.3388410292344,16.6392643270937,16.7092505699115,16.5292485409264,16.3974096501504,16.3849587651553,16.4445693525451,16.2378174604496,16.5439814948393,16.333470049961,15.9166130333285,16.6285322424046,16.5454958695221,16.0386585273032,16.1920268753281,16.5069258048547,16.290082135932,16.1868728577174,16.3597721343462,16.2695256721411,16.6279287546674,16.513831127422,16.7461004983383,15.7056311055746,16.557304548447,16.4048407311348,17.0031714244599,16.6023038386444,16.1487918262234,16.3519601919021,16.3836775536992,16.1354194212814,16.4371781358978,16.1692457941726,16.465885518104,16.8757823826233,16.3345971343464,16.4621050977812,16.8479773762071,16.8336375196543,16.7044568061487,16.9602314761223,16.6273379959838,16.3628089875025,16.5114689862259,16.1778684647037,17.1790070045435,16.8438483788499
"hsa_miR_1_3p",5.33532286998066,5.34976853900794,5.33532286998066,12.9784969057748,14.2753810502534,5.33532286998066,5.34976853900795,6.56207695307118,10.4281288381305,5.33532286998066,9.19585479228577,7.96998876919355,10.1882657825496,9.03110654850342,8.31558238920248,8.93211932772311,7.63600415492121,10.6289187670917,8.74433740387709,9.30267644853221,10.2721712599483,10.1328548538461,10.5891126502137,8.8604454779498,9.99882884775751,10.0320185851779,5.34976853900794,5.34976853900794,7.2212930957929,8.89380247588839,5.34976853900794,10.5254696770229,8.81342407169126,8.35952029258207,6.62850499676956,10.7464219042149,5.34976853900795,5.34976853900794,5.34976853900795,5.34976853900794,5.34976853900794,4.65471470593451,9.09289601996952,9.35250196486542,4.65762511454618,10.6909964692162,4.65762511454617,7.73790909076672,7.84669073235129,7.26618555484301,7.90483735789262,10.2081955580579,7.86784890066621,8.78546383817998,9.32153859470127,8.58739778109734,7.98590673827313,7.82286280520255,7.4521532491178,4.65471470593451,15.6790739002929,4.65471470593451,12.7938297755366,4.65471470593451,4.65762511454617,8.38571706602523,9.65451463401062,7.72944505034073,7.9935838266821,4.65471470593451,8.06075520870151
"hsa_miR_106b_3p",7.65783309584,8.12416963383329,7.462340273096,7.68839697413468,7.78934030362606,7.64461691408596,4.02624690492081,7.15115656382102,8.09001363255689,7.88850327752344,8.16597945282984,8.29893197997002,7.34154148923014,7.8120912361876,8.15854995263619,7.72699004805399,8.14250449094309,8.43819320461868,8.08582050440009,8.02889076120165,8.18250943119015,4.02624690492081,7.90684341700733,8.10119562875699,4.02624690492081,8.2352632653208,4.02624690492081,7.69233324772995,8.09722007643776,8.10062037409489,7.36054052157272,8.14563520713318,7.84907149296813,8.42063144952682,8.74593529241891,7.55329745529337,8.30129275992123,7.95718058701943,7.91532873480842,8.27660561645359,8.12561212561768,7.3793737010192,7.52069560604662,7.37937370101919,7.52069560604662,7.37937370101919,7.52069560604661,7.3793737010192,7.52069560604662,7.3793737010192,11.1133475265905,7.3793737010192,7.52069560604662,7.37937370101919,7.52069560604662,7.3793737010192,7.52069560604661,7.3793737010192,7.52069560604662,7.37937370101919,7.52069560604662,7.3793737010192,7.52069560604661,7.3793737010192,7.52069560604661,7.3793737010192,7.52069560604661,7.3793737010192,7.52069560604661,7.3793737010192,7.52069560604662
"hsa_miR_140_3p",7.16407396451616,8.07494963594764,7.31828756993283,7.89195632827687,7.84415169407642,8.03568383128115,6.4956598589809,6.99809109206458,8.31241671153037,7.98761323396478,8.77678806315971,7.62727549507276,8.03123618363337,8.67611894340968,8.69127393574901,7.92546168279757,8.68175215627549,8.16729858013225,8.66343525489538,7.90256794883128,9.19730949661087,8.20354718394972,8.58838682456551,8.08632854364306,8.28877040216538,7.62579798974287,8.74279666873203,7.38875503146346,8.03221970718608,8.92781507624774,8.41306247538839,9.19801497900732,8.48630333453126,8.29662969277656,8.57353378685361,8.16598232464476,8.58803706571671,8.28664849667615,9.09460517045958,8.10333088972368,8.70109961413666,7.74459539807683,7.8226773161777,7.74459539807683,7.8226773161777,7.74459539807683,7.82267731617769,7.74459539807683,7.8226773161777,7.74459539807683,10.2632318959583,7.74459539807683,7.8226773161777,7.74459539807683,7.8226773161777,7.74459539807683,7.82267731617769,7.74459539807683,10.6095718202027,7.74459539807683,7.8226773161777,7.74459539807683,7.82267731617769,7.74459539807683,7.82267731617769,7.74459539807683,9.57030595572772,7.74459539807683,7.82267731617769,7.74459539807683,7.8226773161777
"hsa_miR_143_3p",9.30945234227529,10.3405760183838,9.99483355817819,11.6716050534866,11.0882219398436,11.3830872543015,10.7434265005749,9.23083632661898,10.9321615771269,10.9988371477312,10.7610585721943,9.7610011389807,11.0750228668062,10.8325407005188,12.5787778255565,11.6074803305874,11.9726885318939,11.7097059853405,13.582277158919,10.7471234404903,11.1113479184827,11.8076514694832,11.4134443763344,12.3124163614146,11.4437567083147,11.0111364802117,12.4182183726073,12.2937158292192,9.34304583810841,11.896783406205,12.5451833686223,11.3769492557377,11.3648444208293,11.244570141292,10.7796801940098,12.2086202040306,12.4827562832918,11.5125871700672,11.3082042556007,11.4976774486492,12.7542333889931,9.90131103193623,10.1433055604288,10.7334713834068,10.8596467327585,11.2983868017296,10.9532536569863,11.5873907618098,12.1292664583847,11.2448738121036,13.2957524204747,9.89294602459983,9.55391596860334,11.1662501412501,11.4721069823078,10.7178121013487,10.936363153243,11.6084610681423,12.988222775398,11.4092637133992,10.5296843554081,10.5268614117663,11.412555612757,10.2835686853259,11.395946647019,11.425103548189,11.9896074639058,11.0046568086064,11.3331395570035,9.73100874934849,12.1512748771557
"hsa_miR_29c_3p",7.65724044727891,7.72986117884485,7.83533194842586,8.2034591698697,8.11515490662442,7.91803404956339,8.22717534857219,6.95164991942411,8.08333093277494,7.41485384676362,8.60318465749999,7.69874201367018,7.61407592650032,7.41129271064393,8.46628719398054,8.10706670682967,7.99764039528784,8.46047880416988,7.71962791601639,4.02984633288925,8.17691922191299,4.02984633288925,7.84317492479663,8.12347861140204,8.55355946391215,4.02984633288925,4.02984633288925,7.02709309916696,7.79309174402884,8.02270081312001,7.78950675950593,7.5951189364597,4.02984633288925,8.06302161681337,7.8028600833903,8.70322555251358,8.77162719796078,8.18380818207739,8.80417512412759,8.07428757489786,8.40338933477919,7.01600544503383,7.04036100145612,7.01600544503382,7.04036100145612,7.01600544503382,7.04036100145612,7.01600544503383,7.04036100145612,7.01600544503383,10.2423035113561,7.01600544503383,7.04036100145612,7.01600544503382,7.04036100145612,7.01600544503383,7.04036100145612,7.01600544503383,10.4498637542924,7.01600544503382,7.04036100145612,7.01600544503383,7.04036100145612,7.01600544503383,7.04036100145612,7.01600544503383,10.1863012327459,7.01600544503383,7.04036100145612,11.1400812855748,7.04036100145612
"hsa_miR_454_3p",7.69132037183457,6.97695136517276,7.75264338432426,6.82490221995428,7.98298633638962,4.32792573986591,7.56422992953453,7.92422422671979,7.51063646452686,7.67950234811846,7.76690681292632,8.35085408367681,4.31934305345221,7.80444196216006,7.4523314591631,7.94046843565254,7.95690741626519,4.32792573986592,7.58584549124884,4.31934305345221,7.57035996922109,4.31934305345221,4.31934305345221,7.46655199688638,4.31934305345221,7.86426820996172,9.22378229866224,7.09680887539756,8.00561693065714,7.71390495724276,7.53530394964532,7.47562135176534,7.38237272234272,7.96742499253108,7.65059603803297,4.31934305345221,8.12998296070654,6.88512192539587,4.31934305345221,6.65285219574332,7.8639978499712,6.65796041068929,6.7062417750799,6.65796041068928,6.7062417750799,6.65796041068928,6.70624177507989,6.65796041068929,6.7062417750799,6.65796041068929,6.7062417750799,6.65796041068929,6.7062417750799,6.65796041068928,6.7062417750799,6.65796041068929,6.70624177507989,6.65796041068929,10.1095728027075,6.65796041068928,6.7062417750799,6.65796041068929,6.70624177507989,6.65796041068929,6.70624177507989,6.65796041068929,6.70624177507989,6.65796041068929,10.3010292194605,6.65796041068929,6.7062417750799
