"","HB1","HB4","HB9","HB10","HB12","HB13","HB16","HB17","HB19","HB20","HB23","HB25","HB26","HB28","HB29","HB31","HB34","HB35","HB39","HB41","HB44","HB51","HB59","HB61","HB63","HB67","HB71","HB75","HB77","HB79"
"hsa_miR_146b_5p",6.89928978757229,4.46204331254588,6.99804098697604,7.85610901611012,4.46204331254588,6.16164782860345,4.46204331254588,7.82759508385521,7.64929661926612,6.42635189237296,7.79951876422917,4.46204331254588,8.21280580209574,8.64224893460029,8.36388987931,7.61880229517381,7.8231092669334,6.76172046355946,4.46204331254588,7.67327107195581,8.24362986174202,8.08001743377197,4.46204331254588,8.11402695447374,7.86260023776932,8.1815464589115,7.44683644319706,6.21265255019721,7.84366831698291,8.67650726800729
"hsa_miR_150_5p",10.1913130595174,10.9166756000292,10.5557135868375,11.9463349214007,10.975487254958,7.80991258840885,10.7113903234763,10.8173435124303,10.7415155001457,10.3642017419073,12.1630998301606,11.0439111764283,11.4163206159401,12.3253778184744,10.253977778619,9.28779389428091,10.8911867681039,9.28062393778989,10.0182959503543,10.1279726242368,10.6547496791854,10.7766916670821,10.2813530454146,10.0261127633912,10.2001529765068,11.3256321608583,9.32591128697191,9.58707744049032,11.077361438389,11.9087082477959
"hsa_miR_15a_5p",8.0068435132217,9.03209081438374,8.09723088183675,4.67813462958052,8.57471151331285,8.3180265024976,7.79457539325959,8.27437618401493,9.2260374720572,9.37042493707647,8.99129351299321,8.76711999947065,8.12849316867259,8.0396247678933,9.00435851571407,8.97000678005904,8.25403602148393,8.13001183505886,8.18078536302699,4.67813462958052,4.67813462958052,4.67813462958052,4.67813462958052,8.38455786610451,8.08168246250044,8.70011844775606,8.40631202511747,8.16943019760798,9.04573923582543,4.67813462958052
"hsa_miR_15b_5p",10.3326150261719,10.479981580399,10.1185338330071,10.1712437525419,9.54571520532477,10.4046396465529,10.0190757028195,10.3188186693154,10.7400334117737,10.6794009052729,10.7046130365393,10.1625793915687,10.4035966300654,10.7396066712992,10.4131124315153,10.4269970634547,10.4791288093046,10.3943410539455,9.67271064569409,10.0491479944319,6.36011370446844,10.1228910554024,10.4162760639426,10.4141803994459,10.1272398885589,10.790875026574,9.55564057335999,10.5481159574007,10.5940718510174,11.0693261172199
"hsa_miR_16_5p",16.6405171165556,16.4736801484031,16.9505239053907,16.1862433590174,16.2923251795211,16.4796583720026,17.1087326480172,17.0678377596686,17.1603995405182,17.2535308534089,16.6012194330879,16.4244480274129,16.4474509393771,16.487451048037,16.3960467618391,16.3568176184752,16.8041082691871,17.2294477887057,16.2233652232976,16.4766873054255,15.9034519209491,16.8250844351814,16.8607557738569,16.8562284054099,16.6747080539317,16.7340410924079,17.0916178524393,16.9183980287714,16.6980959272334,16.7336228239824
"hsa_miR_182_5p",9.21276743584956,9.55538188580549,11.1667705048576,8.75840761499801,9.08465983633256,10.2171113607071,10.5229538113235,9.63629114510976,9.42635927513276,7.8462653267582,9.12182081597267,9.20685755554964,10.104335345209,9.69749167926678,10.7239043278762,9.52053116111552,9.62304079112906,9.75431014969316,9.05902950202442,9.34439116762104,9.24600746190024,9.01684846963371,9.77120715383354,9.25322505462029,9.69352520603462,9.5862111341998,10.3999899875039,9.91056696981858,10.0345921864641,8.85352436550397
"hsa_miR_183_5p",8.23818411935494,8.12073886872891,9.77013847885183,7.93996227358136,8.38752238596849,9.01631929406492,8.82393534440796,8.44515198430587,8.25133773776071,7.45710276742353,8.35986748137186,8.18312204311774,8.92571617274765,8.75743085795625,8.62025816936042,8.63317462410927,8.76402374738586,8.54702064708021,8.07982156350384,8.27105779023996,8.33444689376487,8.49799804791953,8.44275007185696,8.48093300924115,8.68102167406189,8.80642284590195,9.05818685338631,8.94152560112638,8.5655181500399,8.20797915659912
"hsa_miR_185_5p",11.611524608222,12.1011898218939,11.7214870966746,11.7113359830195,11.4745258175159,11.4155529753936,11.8875412643313,11.6109712441063,12.4846195315246,12.3228285225233,11.8703351396389,12.7017407070955,12.23010242502,11.7528280519972,13.4384132095372,13.5040814582068,11.9257144391588,12.0098431384672,12.159396353083,11.6537010041321,11.9714266499363,12.0335045316724,12.1115831588416,11.6027029943995,12.09534398818,12.53241953688,11.2626610451582,11.5397904315846,12.421167166265,11.8770997379388
"hsa_miR_186_5p",7.39356392505356,4.76970527300303,6.91808517952414,4.76970527300303,4.76970527300303,6.68918936572169,7.5503461360767,4.76970527300303,6.87215078272538,7.78913166552302,7.50961894518765,4.76970527300303,7.43098346822397,7.72405167420246,7.954136944913,7.47602324331506,4.76970527300304,7.2529960437823,4.76970527300303,4.76970527300303,4.76970527300303,4.76970527300303,4.76970527300303,4.76970527300303,7.10316583059699,7.81912589315297,6.52830278776386,6.97818788454298,7.71474423838636,4.76970527300303
"hsa_miR_191_5p",12.9489831427316,12.9225987151851,12.8469068703112,13.4040285669186,13.4397531576924,12.6234988112598,13.1072423276923,13.4887022784474,13.0939311512305,13.246393028263,13.6487383329066,13.3278403113005,13.9907450241884,13.5631376448042,13.7770792915736,14.0359059902154,13.4615775409866,13.2344392167289,12.2608751533792,12.4887922094813,13.5094183671859,13.1844250747122,13.1180373822543,12.9874180249996,13.3563107104017,13.701299091636,12.8209400638189,12.6644105346752,13.1802092972073,13.4303216917559
"hsa_miR_192_5p",9.49738508596468,7.58520669494698,8.26108676741817,8.21274907466264,7.27775736388756,6.66987218918983,7.54812055213522,7.90815633615067,8.18935195423688,8.90469456846271,8.35637204105083,8.06608240348754,8.16998392921094,8.27665488910538,7.84442758575335,9.31228676593879,8.35810115819195,7.72569346447941,10.1699752257227,9.72836521153958,8.62725417546437,8.93189353333514,8.60181530112373,7.57524689744919,7.37345441135059,8.29448639401235,6.95878015693438,7.67638330513916,7.88219829121546,7.58509064168491
"hsa_miR_205_5p",7.34820651634195,8.48938974450783,7.86453630245375,4.45988740261218,4.45988740261218,6.38290122712232,4.45988740261218,6.94373355513692,8.32292586127251,8.9966405873338,8.75979927291568,10.5171061726166,8.02101336325677,8.27240392475677,8.82328225797725,7.71480445133724,8.61977276733958,6.6192129572465,4.45988740261218,7.8716629200148,9.71909598720396,8.50044488133117,4.45988740261218,8.59191633284968,7.87165590066331,8.88578087194773,6.37464663550057,6.61870220251821,10.6499876307915,4.45988740261218
