"","HB2","HB5","HB8","HB9","HB11","HB12","HB15","HB16","HB18","HB19","HB21","HB24","HB25","HB27","HB28","HB30","HB31","HB32","HB35","HB38","HB39","HB40","HB41","HB44","HB45","HB46","HB49","HB50","HB51","HB52","HB54","HB56","HB58","HB59","HB60","HB61","HB62","HB63","HB66","HB67","HB68","HB70","HB71","HB72","HB74","HB75","HB76","HB77","HB78","HB79","HB80"
"hsa_let_7b_5p",16.6509047450834,17.3165073382656,16.4635611751607,16.0716052106737,16.794747816822,17.2027504101223,16.5255033471869,16.5832170412434,16.3707071578324,16.3016905072653,16.1667520264302,16.8269083359757,16.0798429868138,16.521376262768,16.4647194201722,16.6168843090732,16.29739079146,16.8678091037997,16.3042553088328,16.0583699299419,16.2978518802919,16.4000066414262,16.2649355846997,16.4831762539201,16.3812397598983,16.6828432966522,16.7547483872178,16.5711983616263,16.3458468556805,16.4393381825877,16.4259422158878,16.48722005479,16.2776656585319,16.2867401612967,16.5868336042019,16.5467822885306,16.3760528428438,16.6719198298969,15.9501073800621,16.0306324683713,16.6741203410356,16.5876862705279,16.7189721723664,16.0795247296135,16.237299520419,16.7871793601225,16.5534373044927,16.0607047033944,16.3349057357063,16.4091983798815,16.2284989289384
"hsa_miR_128_3p",7.53979920678364,8.47566398376487,4.72241537182133,7.85659320072503,4.72241537182133,8.35032813752997,8.69271110492112,7.45107710918906,8.09536511661923,7.9907373147117,8.15144626012371,9.12219745070301,4.67288623101419,8.27671011286849,4.67288623101419,8.27319642310264,8.09207837017003,4.72241537182133,7.60956741731612,4.72241537182134,4.67288623101419,8.96965173621311,8.20111756957322,4.67288623101419,8.14081717827089,4.72241537182134,4.72241537182133,4.72241537182133,4.67288623101419,4.72241537182133,7.49093878444097,8.98500903590968,8.21634804269337,4.67288623101419,7.9461384536089,8.32588010203255,8.22214080266214,7.08553326241956,7.15309571878815,8.29157998845078,7.59522099059191,8.90436138636624,6.63289161579098,8.92678985171658,8.83779551225873,8.0007687527762,9.21505705565392,8.45360608225089,9.32054022390995,4.67288623101419,8.32473168134228
"hsa_miR_1307_3p",8.82346160999876,9.5514917929719,5.49127418088635,8.33397545404847,9.21385930364465,5.48608311136561,9.24228421773006,5.4860831113656,5.49127418088635,5.48608311136561,9.08616763091225,8.84983641971996,5.48608311136561,9.16396280929953,9.49878455725935,9.90007493021603,9.18492259093746,5.49127418088635,8.26503585928659,9.93823502048469,9.31949892629266,5.49127418088635,5.48608311136561,9.75581158028268,9.41757509946638,5.49127418088635,5.49127418088635,11.0876143986266,5.4860831113656,8.82724976750853,7.10772604790567,9.3129903345512,9.69772506477002,5.4860831113656,5.49127418088635,5.48608311136561,5.49127418088635,8.65976561614756,8.65999762068085,9.40074095735353,9.04517926751211,9.90598189704525,8.09947031914314,9.46109219990293,10.9008023275569,8.43852965139138,10.3513580110489,9.74870807987959,10.1578320558516,9.98200129291012,9.28956983386253
"hsa_miR_144_3p",8.33409884785827,7.58946029589356,9.07526830076339,9.06221663144852,8.37543517103273,8.35615447345963,8.66104846018158,8.41680756180879,8.70784889527547,9.6993715093535,9.2565110777429,8.58400529795422,9.77316890135222,9.04453624066871,8.57997999823671,8.40240630999853,8.55251637817323,4.58635340713454,9.0259662966764,4.58635340713454,7.962860277287,4.58635340713454,8.92737895318918,4.5935387895905,8.74205966171695,4.58635340713454,8.73322421333309,4.58635340713454,9.09330923637032,4.58635340713454,8.58519469867419,7.83379054535115,8.63753800988544,9.13667105690187,8.3662649228429,8.5955467651048,8.58933669911636,7.4375144984424,8.98514551338537,9.14803086022351,9.44911750129109,4.58635340713454,7.63118425932414,10.4807895496334,4.58635340713454,8.95983093196721,4.58635340713454,8.77335565540539,7.40964318687689,4.5935387895905,8.11087425482994
"hsa_miR_146b_5p",7.25709008675517,7.97119849782098,8.29800138748172,7.35141841628245,8.39897480779456,4.69305649148207,4.6633698720554,4.69305649148207,8.10573018891461,8.06193814239106,4.6633698720554,7.53813923532183,4.69305649148207,8.27091944129155,9.15183907168233,7.52297653708523,8.02918577137704,4.6633698720554,7.09492233520749,4.66336987205541,4.69305649148207,4.6633698720554,8.08797027275006,8.71166002920962,7.95260413393537,4.66336987205541,4.6633698720554,4.6633698720554,8.53492142994974,7.88916194907002,4.6633698720554,7.44469864650935,7.94931487056839,4.69305649148207,4.6633698720554,8.5708678927439,8.10719376029371,8.29584870969113,7.77747244297146,8.64598865225808,7.08849502732408,9.15217395656787,7.8410265063845,7.69294931972351,8.81092943444099,6.50285097998467,8.38750725366573,8.27529120435947,7.92677925985446,9.18857702827909,7.64518593660456
"hsa_miR_223_3p",12.4256763221591,12.7585927632258,11.8793647296307,12.1950180284809,12.5594935835588,13.890755563864,12.8374038406363,12.2834862387414,12.8462903017447,11.6124982635778,12.8414801742891,13.5456973911754,13.386323758708,14.0909412839308,12.9440903579468,13.9746016193675,13.4402982600108,11.8965410384534,11.9927833557615,13.1861015252049,12.2615394358293,13.2938750134716,12.2066899136719,14.4501749026995,14.0875870550195,13.1632987929995,12.410527482105,13.7691620385511,11.7074092520669,13.5329878604635,10.9008506267388,14.1620951651733,13.8686895985045,13.4161558432603,13.0359462667678,12.0020978868928,12.9392581973615,12.4264566641727,12.3227790672626,12.9243148108849,11.5601853073191,12.8252285429591,12.1686620959542,14.952352926478,12.444070695514,11.5392023836627,13.0528347888971,12.4573783409631,13.3855137789626,13.1186437855281,15.2937895581587
"hsa_miR_29c_3p",8.24526441829159,8.74506256624583,8.65001480833535,7.65736776586263,8.76682872091931,8.31421681323982,8.61715197512493,8.45287696601252,9.16545675197847,7.96952170989959,8.12470855544071,9.02049085537281,4.43995387057148,8.52731094649571,8.7372917173013,8.23542236749197,7.73207157532365,4.44959506671211,8.37187671622681,4.44959506671212,8.51513483893943,8.36247272764038,8.0387835270632,4.43995387057148,8.65924534562159,9.10815500519283,4.44959506671211,4.44959506671211,7.82401553072568,7.50954755440693,8.31090806302121,8.55239976796703,8.30799855687041,9.17243106436071,8.10299900323872,8.06474295273891,4.44959506671212,7.95598116765356,8.59360524325256,8.54978417225443,8.32196448722621,9.26540088536347,8.07299090533867,9.34246503084179,8.7267475461577,7.65633971083112,9.37559288742948,8.49117349104091,8.61020898258573,9.07593956797768,8.95437093820942
"hsa_miR_320b",9.27983956906837,9.9969233158184,6.46778887650212,8.8109707508994,10.8103794297614,6.54815627596124,9.928643646471,9.50099833188089,6.46778887650212,9.56793273577503,6.46778887650212,9.17972342457385,10.6951727071069,8.76163045818442,9.46034849135035,10.0118485074613,10.3023940849147,10.1418961785901,8.70144117421436,6.46778887650212,10.3248160489976,6.46778887650212,10.069708879482,10.8178028410466,6.46778887650212,6.46778887650212,6.46778887650212,6.46778887650212,9.466826738439,9.46916797242486,8.20297201911826,8.75327777839763,10.0294580347803,10.4305043545575,9.57127415100572,9.76948956182152,6.46778887650212,9.50468129891651,6.46778887650212,9.28215425441911,10.4520792534449,6.46778887650212,8.20016340122594,9.27125903196469,10.7395489253856,9.59174365396286,6.46778887650212,11.1063997041268,10.2063928754612,6.54815627596124,8.90737081647224
"hsa_miR_454_3p",7.34620221748798,7.18589486302664,8.42831343172375,8.61090964811402,7.97673970409021,8.82853075331064,7.92033671867768,8.09431075741562,8.19836171450783,9.16623842393745,4.56381044664305,7.85879230113249,7.85033458646432,8.40081744443238,8.28312122610247,8.00103334434894,7.58897792082255,4.56381044664305,8.80508828646938,4.56381044664305,8.62967521299681,4.56381044664305,4.59982009826969,4.59982009826969,7.87288774343882,4.56381044664305,8.29901004992846,9.76488313074714,8.85463232861479,7.47471207569084,8.45149922840831,8.13796916623579,7.94600304199624,8.04994171451139,7.88063387469622,8.06354760567701,7.78259622975627,8.35293957537822,8.40990656373588,8.14971460344338,8.07000197395218,4.56381044664305,8.10721354924603,8.58954376682564,7.25246888618865,8.24780590380543,4.56381044664305,7.72319817577715,7.00240620934197,4.59982009826969,8.30178491702152
"hsa_miR_744_5p",6.01715308689598,9.15007378176507,6.01715308689598,8.90007170740337,9.36096413278512,9.39026894806436,6.01715308689598,6.01113396970578,6.01715308689598,6.01113396970579,6.01715308689598,8.73289887267429,6.01113396970579,9.97033864735834,9.20201063944354,10.6443511382613,9.0741944406127,6.01715308689598,8.19535612557334,6.01715308689598,6.01113396970578,10.0776999061158,6.01113396970579,10.9162007553262,9.6468366611543,6.01715308689598,6.01715308689598,6.01715308689598,6.01113396970578,9.21008298293299,8.01263297859585,9.1577134423623,6.01715308689598,6.01113396970578,6.01715308689598,6.01113396970579,9.21361169120256,8.52692268957131,9.45357811785417,9.19666910879642,9.441293803262,6.01715308689598,8.35506019848982,9.79443144760899,10.0523552705373,8.55256279498816,10.8607762223856,9.83266611227533,11.1057623367705,6.01113396970579,9.72000645705412
