"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-miR-221-3p",39,15,31,161,44,31,31,54,22,8,21,25,27,102,46,68,71,21,52,37,59,47,56,107,46,36,54,64,76,75,53,15,2711,35,30,79,127,35,51,54,132,87,49,72,96,17,148,68,43,591,153,332,20,21,13,10,25,62,21,48,27,17,2,6,22,20,8
"hsa-miR-10b-5p",75,72,23,30,48,43,95,84,44,49,101,53,111,250,121,133,128,33,144,57,144,122,206,200,172,136,97,301,355,271,277,67,178,58,48,85,291,90,214,228,149,134,151,107,134,11,123,476,191,270,169,1887,6,14,10,29,23,26,15,20,9,24,7,20,22,4,37
"hsa-miR-21-5p",449,151,170,1671,449,395,304,457,189,288,547,250,329,1119,516,711,471,286,545,303,660,543,666,804,535,426,937,710,1095,1121,637,215,5907,298,296,489,2487,211,677,560,603,551,603,640,709,57,729,1018,670,1077,700,4690,24,14,17,33,33,75,32,75,32,18,4,12,47,43,19
"hsa-miR-128-3p",24,12,8,67,19,21,11,18,9,3,17,12,12,41,13,16,13,5,19,17,24,13,26,29,17,11,14,24,30,29,18,11,520,13,9,12,33,32,8,16,23,20,14,73,21,5,48,21,15,67,45,96,6,4,5,9,12,19,4,10,3,5,0,0,7,10,3
"hsa-miR-126-3p",1822,911,465,1359,1278,1287,1288,1274,598,561,1138,979,1563,3418,1237,1838,1681,731,1628,1035,3047,1486,2200,3450,2330,2009,1529,4389,4927,4131,3596,1364,10840,1195,1127,2481,3779,1975,2358,2586,2621,1967,2627,1702,3013,170,2156,6406,3041,5795,3847,20793,1443,1625,1158,2269,2238,3569,1881,3614,1623,1508,520,1211,1852,1357,1220
"hsa-miR-146b-5p",20,4,13,30,37,13,18,25,19,12,13,16,23,28,24,28,17,22,41,22,44,31,21,54,48,13,14,27,64,59,56,4,535,23,23,26,102,16,28,28,99,29,46,14,30,3,50,76,41,160,59,275,1,4,2,2,2,7,2,5,1,3,1,1,0,0,0
"hsa-miR-30a-5p",54,27,13,15,38,25,53,61,20,26,47,37,42,101,61,74,83,48,77,35,65,62,84,127,53,68,47,141,146,128,146,32,158,30,45,90,136,60,75,84,66,57,77,54,96,8,54,193,80,180,134,655,25,18,14,64,37,111,29,37,20,27,22,24,19,21,28
"hsa-piR-28096",8,5,7,10,8,4,9,15,6,4,4,2,5,25,8,10,25,11,12,8,14,15,6,18,7,11,12,18,43,29,13,5,309,8,8,20,23,17,16,23,36,17,10,15,15,3,38,10,15,127,49,40,8,6,0,10,8,13,9,12,7,10,3,10,4,5,11
