"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-miR-483-5p",68,8,5,15,25,15,17,6,12,11,13,12,24,43,19,32,18,24,50,16,35,66,46,18,17,24,29,41,30,41,27,14,14,7,17,24,21,20,10,20,19,16,23,12,28,5,21,33,29,7,7,47,7,4,4,14,27,41,10,2,6,2,0,4,7,7,6
"hsa-miR-221-3p",39,15,31,161,44,31,31,54,22,8,21,25,27,102,46,68,71,21,52,37,59,47,56,107,46,36,54,64,76,75,53,15,2711,35,30,79,127,35,51,54,132,87,49,72,96,17,148,68,43,591,153,332,20,21,13,10,25,62,21,48,27,17,2,6,22,20,8
"hsa-miR-23a-3p",51,39,38,80,93,66,65,89,39,28,62,58,82,230,103,153,88,77,151,76,139,103,103,194,89,125,137,134,189,225,168,41,2295,76,62,125,177,83,94,104,138,125,136,161,159,19,213,165,114,562,248,738,64,45,29,36,106,154,88,132,79,38,11,20,88,82,35
"hsa-miR-99b-5p",39,17,18,21,28,10,37,29,19,15,19,18,32,97,42,45,64,55,82,22,44,52,56,63,44,62,49,80,125,90,78,21,241,18,23,47,75,28,37,43,54,33,50,26,21,3,59,91,49,125,54,270,8,17,6,9,18,23,14,39,12,3,5,3,39,21,23
"hsa-miR-126-5p",196,119,53,193,154,104,174,151,68,99,154,150,223,493,213,228,239,165,267,96,319,234,314,393,265,290,193,555,557,497,521,167,1688,164,116,221,493,244,256,323,200,154,291,158,335,16,259,682,267,612,417,2587,152,174,115,266,233,442,216,438,190,190,61,130,238,185,113
"hsa-miR-151a-3p",122,57,62,576,118,75,49,115,82,58,107,111,110,290,152,144,158,207,309,164,220,145,129,159,133,139,170,183,242,263,202,61,6054,104,64,127,350,98,84,112,267,128,121,129,99,28,481,123,110,431,127,375,26,37,19,20,52,100,50,100,35,25,1,7,44,42,12
"hsa-miR-10b-5p",75,72,23,30,48,43,95,84,44,49,101,53,111,250,121,133,128,33,144,57,144,122,206,200,172,136,97,301,355,271,277,67,178,58,48,85,291,90,214,228,149,134,151,107,134,11,123,476,191,270,169,1887,6,14,10,29,23,26,15,20,9,24,7,20,22,4,37
"hsa-miR-10a-5p",75,40,17,50,70,30,84,76,31,18,71,43,77,162,92,131,145,45,106,59,109,78,149,124,136,128,97,206,257,224,194,57,290,58,68,89,198,67,157,157,79,83,119,86,99,6,123,302,146,147,109,1153,73,51,51,134,104,159,88,119,89,86,43,60,104,95,91
"hsa-miR-29a-3p",42,23,35,33,82,41,42,65,11,32,78,35,54,101,82,77,96,49,81,42,72,82,71,137,62,91,56,94,141,163,106,26,809,24,39,81,195,54,50,61,76,99,146,66,75,10,81,153,83,128,119,486,6,7,6,15,11,22,13,17,13,8,3,8,14,7,16
"hsa-miR-29c-3p",56,19,11,77,31,48,18,30,26,23,39,22,24,77,39,54,29,33,35,15,51,43,60,68,53,35,42,64,81,68,65,15,302,13,26,44,87,20,21,46,26,52,54,61,65,5,38,99,49,107,95,231,4,2,0,4,1,6,3,4,3,2,2,2,4,1,7
