"","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22"
"hsa-let-7c-5p",91,234,82,103,51,91,94,56,130,106,51,115,176,61,8,132,142,113,278,91,459,94,100,114,164,64,126,80,107,135,92,160,108,171,198,152,169,118,135,289,203,142
"hsa-let-7b-5p",2243,8305,1981,1608,1637,2885,2439,1718,2570,2224,2039,3140,10591,1502,404,3643,3335,2677,4623,2583,9675,2261,3122,3885,4803,1973,3836,2374,3259,4039,2140,5154,2201,3035,5504,3216,3874,4429,4040,6037,5171,2916
"hsa-miR-342-3p",113,696,81,116,175,414,127,94,198,280,242,510,157,170,26,298,498,385,434,242,1929,236,159,171,389,195,265,269,159,376,124,448,260,247,440,344,278,226,327,739,594,428
"hsa-miR-26b-5p",270,5833,429,273,499,817,445,408,605,729,422,587,977,569,48,657,1141,525,2422,973,4169,290,283,339,631,251,431,267,181,332,203,553,321,392,942,530,483,375,650,1090,920,651
"hsa-miR-142-3p",635,14758,830,516,1481,2325,866,792,1192,2521,1886,1290,1941,1122,116,1948,1949,1249,3227,2147,6226,651,598,711,1333,632,804,694,450,974,701,1244,917,741,1378,1111,1043,673,1036,2499,1928,1296
"hsa-miR-20a-5p",10,212,11,5,13,43,13,13,17,19,10,19,44,21,3,24,27,20,98,47,144,9,3,7,20,6,11,12,4,7,11,24,8,16,50,17,10,6,24,30,20,16
"hsa-miR-1290",22,4,34,14,25,10,13,23,22,28,17,7,77,32,1,25,19,16,40,56,28,9,0,10,14,8,22,7,4,8,11,31,13,12,7,14,5,21,11,17,18,6
"hsa-miR-223-3p",303,6759,427,323,1626,656,801,297,465,882,1166,505,1148,536,53,750,1324,326,4051,2430,1754,181,195,224,715,282,293,291,165,406,222,387,283,202,666,306,267,310,354,764,716,727
"hsa-miR-1246",147,39,100,53,64,223,30,266,161,119,66,36,583,117,11,68,84,139,86,129,113,35,30,32,53,33,83,19,36,33,24,155,36,97,47,65,34,37,29,73,62,23
