"","MET8","HB16","MET11","HB15","HB14","MET12","HB50","HB39","HB38","HB36","HB42","HB32","HB62","HB22","HB60","HB44","HB52","HB31","HB58","HB64","HB29","HB30","HB56","HB33","HB54","HB46","HB25","HB59","HB63","HB65","HB66","HB23","HB21","HB61","HB27","HB35","HB24","HB26","HB47","HB40","HB41","HB37","HB49","HB17","HB53","HB55","HB34","HB45","HB28","HB57","HB18","HB43","HB20","HB19","HB67","HB51","HB76","HB75","HB71","HB72","HB77","HC21","MET20","HB70","HC19","HB74","MET21","MET19","HB73","HB69","HB81","HC20","HB80","HC22","HB78","HB68","HB79","HB4","HC1","MET5","HB7","MET3","MET15","MET1","HB12","HC6","HC11","HC9","HC4","HB10","HB11","HB5","HC8","HC14","HB13","HC10","MET7","HC12","HC17","HC2","HC18","HC13","HB3","HC16","HB9","MET4","HC7","MET2","MET16","HB1","MET13","MET17","HC5","MET6","MET10","HB2","HB8","MET18","MET14","HC15","MET9"
"hsa-let-7b-3p",68,46,35,39,25,69,0,37,10,28,12,19,24,49,35,13,53,36,31,70,29,38,38,47,76,36,23,41,145,37,42,27,30,41,41,78,100,38,88,18,45,66,27,51,67,41,26,62,55,48,80,31,64,51,46,35,17,113,130,86,33,68,55,18,55,41,65,76,94,42,33,58,70,54,32,350,19,44,29,26,280,17,0,22,12,35,29,54,37,44,28,93,48,39,234,55,46,57,49,81,67,44,331,30,52,31,59,62,57,76,101,47,42,39,38,65,34,51,66,81,50
"hsa-miR-203a-3p",1061,163,1021,375,581,208,24,128,41,252,106,113,105,159,295,325,204,311,812,249,511,179,154,78,123,171,422,112,940,102,178,277,2086,297,236,311,141,546,332,294,156,977,161,114,290,279,286,220,335,950,248,263,1050,585,915,496,124,435,160,422,1892,828,426,345,372,275,1032,2058,2636,547,252,1617,417,555,225,95,133,323,233,386,251,491,54,213,188,176,186,184,301,186,2183,496,236,1273,423,310,205,1545,153,512,311,332,173,520,754,127,589,462,237,461,753,935,252,754,1321,272,562,663,3064,491,2837
"hsa-miR-22-3p",29,30,33,18,29,23,0,11,0,12,15,17,0,28,10,13,10,41,16,25,12,14,37,24,23,15,18,10,25,11,17,21,23,15,35,44,26,23,30,12,16,26,11,21,17,13,17,15,32,36,32,12,43,47,32,21,10,50,28,192,33,33,64,0,44,36,155,145,34,15,51,23,47,29,37,408,0,14,22,67,137,27,0,13,14,24,0,19,23,0,14,51,35,17,114,17,20,34,34,19,28,40,112,22,60,0,22,346,20,44,78,31,33,54,31,33,38,44,62,55,19
"hsa-miR-451b",55,17,43,0,23,23,0,0,0,12,0,18,19,10,15,15,11,14,14,0,0,21,23,10,0,13,0,14,0,16,12,22,20,12,15,21,24,14,18,11,0,20,13,11,17,16,26,21,23,11,31,13,29,18,0,31,0,15,0,53,10,17,36,0,46,11,57,34,21,18,22,18,18,19,0,53,10,0,10,12,36,0,0,0,0,15,0,0,19,0,14,11,12,18,26,0,19,23,16,13,15,18,41,14,0,0,29,33,14,0,39,32,24,43,30,0,21,21,33,51,19
