"","MET8","HB16","MET11","HB15","HB14","MET12","HB50","HB39","HB38","HB36","HB42","HB32","HB62","HB22","HB60","HB44","HB52","HB31","HB58","HB64","HB29","HB30","HB56","HB33","HB54","HB46","HB25","HB59","HB63","HB65","HB66","HB23","HB21","HB61","HB27","HB35","HB24","HB26","HB47","HB40","HB41","HB37","HB49","HB17","HB53","HB55","HB34","HB45","HB28","HB57","HB18","HB43","HB20","HB19","HB67","HB51","HB76","HB75","HB71","HB72","HB77","HC21","MET20","HB70","HC19","HB74","MET21","MET19","HB73","HB69","HB81","HC20","HB80","HC22","HB78","HB68","HB79","HB4","HC1","MET5","HB7","MET3","MET15","MET1","HB12","HC6","HC11","HC9","HC4","HB10","HB11","HB5","HC8","HC14","HB13","HC10","MET7","HC12","HC17","HC2","HC18","HC13","HB3","HC16","HB9","MET4","HC7","MET2","MET16","HB1","MET13","MET17","HC5","MET6","MET10","HB2","HB8","MET18","MET14","HC15","MET9"
"hsa-miR-101-5p",13,14,38,0,0,11,0,10,0,0,13,0,11,10,0,0,12,20,0,35,0,0,23,20,43,0,10,0,51,0,27,0,0,14,15,37,14,14,26,0,12,34,0,20,40,18,0,11,13,11,20,0,37,19,11,17,0,64,48,38,18,18,18,0,23,0,42,15,43,21,20,15,21,14,10,170,0,0,13,16,79,12,0,12,0,10,0,14,0,0,0,0,15,13,59,0,10,14,14,11,13,21,45,11,27,0,15,31,13,20,21,18,11,27,22,19,45,24,17,23,15
"hsa-miR-1307-3p",102,53,111,69,65,87,26,26,41,49,39,34,46,76,44,29,61,60,61,59,61,56,85,42,40,49,59,32,73,16,59,60,52,48,98,59,72,64,83,65,61,44,38,68,64,53,72,97,78,66,135,61,88,65,72,59,41,75,41,210,72,121,159,40,131,107,174,192,86,106,155,95,122,102,203,159,54,29,126,95,129,37,63,27,39,77,55,54,41,53,33,61,116,61,84,70,62,77,70,44,104,82,74,45,56,63,85,770,152,46,72,93,135,145,117,84,88,68,102,132,90
"hsa-miR-223-3p",354,338,1474,237,340,626,143,207,186,392,146,119,359,213,353,518,835,929,779,528,430,1025,1629,283,330,174,373,334,1110,117,413,455,283,184,2161,415,1629,885,322,237,162,179,142,829,649,165,240,955,519,306,281,123,535,387,539,169,215,567,786,8249,293,833,2764,164,411,362,1964,4496,1105,255,710,889,6852,848,744,1250,198,179,219,2196,464,534,65,371,628,346,268,207,275,239,267,525,334,231,541,505,921,449,315,251,359,339,803,375,720,378,332,7699,881,322,1430,1560,864,783,1072,579,141,374,628,742,566
"hsa-miR-3912-5p",46,0,19,29,22,30,0,0,0,14,0,14,14,23,25,19,14,16,17,0,0,10,66,21,0,28,11,13,0,0,12,12,23,16,10,23,18,23,22,13,14,17,16,29,16,29,11,30,22,19,59,13,39,24,22,21,17,15,12,60,0,27,34,11,28,15,50,33,15,18,18,20,23,35,112,0,0,19,17,10,0,17,0,0,23,10,0,10,25,20,19,14,25,20,11,0,22,14,15,32,49,0,16,10,21,23,27,15,18,13,17,18,28,16,30,22,36,21,26,35,20
"hsa-miR-4274",87,46,77,61,62,59,11,19,12,35,31,22,36,40,50,62,59,88,59,16,52,49,97,43,43,40,53,35,36,30,39,64,133,37,65,35,29,41,45,39,35,40,45,55,19,41,87,60,47,36,85,72,63,46,47,71,40,61,24,105,56,67,68,39,77,49,98,95,38,38,53,68,60,98,2887,40,38,34,34,55,29,39,25,23,74,40,88,39,47,24,27,40,106,55,33,45,50,48,62,29,67,52,48,46,47,93,64,52,59,37,57,71,79,50,59,43,170,58,81,113,52
"hsa-miR-4763-5p",22,18,64,35,15,22,23,15,18,14,15,10,29,20,17,32,31,93,23,19,15,23,44,19,14,37,46,14,16,15,26,42,21,24,28,24,17,26,31,30,18,27,42,19,24,24,36,24,39,29,27,19,39,28,33,31,16,23,14,29,0,18,37,23,40,35,60,33,33,36,18,45,30,28,311,40,15,15,10,30,21,13,11,0,28,23,13,26,22,13,28,22,31,26,13,16,31,29,33,27,22,54,20,19,39,22,25,33,26,14,32,26,36,41,68,25,70,29,39,59,20
