"","MET8","HB16","MET11","HB15","HB14","MET12","HB50","HB39","HB38","HB36","HB42","HB32","HB62","HB22","HB60","HB44","HB52","HB31","HB58","HB64","HB29","HB30","HB56","HB33","HB54","HB46","HB25","HB59","HB63","HB65","HB66","HB23","HB21","HB61","HB27","HB35","HB24","HB26","HB47","HB40","HB41","HB37","HB49","HB17","HB53","HB55","HB34","HB45","HB28","HB57","HB18","HB43","HB20","HB19","HB67","HB51","HB76","HB75","HB71","HB72","HB77","HC21","MET20","HB70","HC19","HB74","MET21","MET19","HB73","HB69","HB81","HC20","HB80","HC22","HB78","HB68","HB79","HB4","HC1","MET5","HB7","MET3","MET15","MET1","HB12","HC6","HC11","HC9","HC4","HB10","HB11","HB5","HC8","HC14","HB13","HC10","MET7","HC12","HC17","HC2","HC18","HC13","HB3","HC16","HB9","MET4","HC7","MET2","MET16","HB1","MET13","MET17","HC5","MET6","MET10","HB2","HB8","MET18","MET14","HC15","MET9"
"hsa-miR-328-5p",67,38,47,44,44,56,0,0,0,15,11,18,15,37,23,28,19,45,48,19,22,24,32,36,24,23,31,28,38,21,40,49,37,38,48,27,23,36,28,24,50,28,19,45,25,22,49,98,53,45,96,54,55,41,53,57,23,19,22,85,36,45,60,20,59,31,59,61,32,236,37,39,39,79,26,23,49,35,29,42,16,12,13,0,114,19,27,41,27,14,33,15,41,34,12,27,40,37,30,29,61,30,22,38,19,33,46,56,41,25,53,53,41,58,32,29,79,33,61,65,36
"hsa-miR-4254",47,21,60,43,28,32,13,16,21,18,0,40,18,22,29,36,30,35,26,22,40,36,33,30,29,44,40,24,20,17,24,41,16,33,32,21,21,27,26,27,49,26,21,16,19,39,62,20,48,32,45,23,27,31,49,43,20,32,29,42,20,35,31,22,40,30,75,34,31,47,23,53,23,24,79,22,23,22,28,45,15,15,0,11,28,27,22,22,23,31,17,26,31,27,14,31,36,25,47,41,37,30,28,21,21,40,15,54,42,28,20,26,51,59,59,35,21,31,49,39,19
"hsa-miR-4539",64,18,35,22,17,30,0,16,0,33,0,12,13,18,17,27,26,27,15,14,24,21,23,16,12,46,22,10,0,20,26,36,26,14,25,15,31,20,22,13,18,18,21,28,16,18,34,16,24,52,55,29,23,21,29,30,12,17,0,46,13,21,47,0,70,13,54,46,23,18,17,41,19,21,14,20,41,11,13,11,0,0,13,11,139,22,13,11,20,0,22,15,23,13,10,25,26,24,24,16,22,10,18,27,18,26,19,60,23,20,18,30,31,40,51,19,241,29,38,42,27
"hsa-miR-6810-5p",90,35,63,56,47,80,14,21,0,49,0,0,50,52,35,30,23,28,29,20,28,16,30,37,39,51,41,51,26,0,32,46,34,30,47,50,39,53,26,33,37,32,46,32,42,34,41,49,47,45,166,46,65,56,58,50,21,18,27,139,43,61,124,20,92,25,127,147,39,26,53,55,28,90,73,19,28,27,26,29,12,23,0,21,0,34,25,21,26,30,14,39,42,63,14,18,44,48,41,35,53,33,26,33,23,38,88,65,71,28,38,46,59,85,73,33,43,45,104,85,59
"hsa-miR-6823-5p",17,13,31,19,18,0,0,22,0,29,15,0,11,23,0,20,11,26,18,13,30,16,24,21,19,13,23,22,25,14,17,31,16,19,16,15,28,22,23,0,15,15,26,19,21,12,44,21,21,20,47,20,24,22,30,26,13,16,0,41,13,24,34,0,34,24,62,55,32,17,15,43,24,22,21,13,15,17,18,11,12,19,0,0,13,19,0,13,32,19,11,18,22,14,0,14,18,16,36,12,31,15,13,13,14,21,16,30,19,0,25,31,29,36,34,0,31,49,39,46,21
