"","MET8","HB16","MET11","HB15","HB14","MET12","HB50","HB39","HB38","HB36","HB42","HB32","HB62","HB22","HB60","HB44","HB52","HB31","HB58","HB64","HB29","HB30","HB56","HB33","HB54","HB46","HB25","HB59","HB63","HB65","HB66","HB23","HB21","HB61","HB27","HB35","HB24","HB26","HB47","HB40","HB41","HB37","HB49","HB17","HB53","HB55","HB34","HB45","HB28","HB57","HB18","HB43","HB20","HB19","HB67","HB51","HB76","HB75","HB71","HB72","HB77","HC21","MET20","HB70","HC19","HB74","MET21","MET19","HB73","HB69","HB81","HC20","HB80","HC22","HB78","HB68","HB79","HB4","HC1","MET5","HB7","MET3","MET15","MET1","HB12","HC6","HC11","HC9","HC4","HB10","HB11","HB5","HC8","HC14","HB13","HC10","MET7","HC12","HC17","HC2","HC18","HC13","HB3","HC16","HB9","MET4","HC7","MET2","MET16","HB1","MET13","MET17","HC5","MET6","MET10","HB2","HB8","MET18","MET14","HC15","MET9"
"hsa-miR-3689f",17,0,0,0,11,10,0,0,0,0,0,0,17,12,0,0,0,0,0,0,10,0,0,14,0,0,16,0,0,0,0,12,11,0,0,0,0,0,0,12,10,0,12,20,10,17,12,12,0,13,26,20,28,14,13,11,0,0,0,23,12,19,23,0,12,0,23,19,0,10,0,11,10,23,20,10,0,11,0,0,0,0,0,0,0,0,0,0,11,16,0,0,0,14,0,13,0,0,16,0,19,15,0,16,0,18,0,21,23,13,11,16,22,0,0,10,70,0,33,20,35
"hsa-miR-4448",82,35,80,57,60,37,12,37,24,39,11,24,30,49,35,30,29,26,52,29,32,37,34,20,39,50,38,23,31,24,30,65,44,33,45,39,32,58,32,25,27,21,41,31,17,38,159,61,42,48,101,42,47,48,37,51,22,44,19,87,29,58,80,25,110,40,144,59,45,38,33,102,38,59,36,19,39,29,25,50,12,22,0,25,210,35,34,34,42,36,26,26,46,32,36,33,57,36,59,19,57,41,22,63,35,31,37,67,45,28,31,62,85,87,53,45,44,58,88,82,46
"hsa-miR-6840-3p",34,0,20,11,18,28,0,0,0,0,14,16,0,0,0,13,15,0,12,0,33,10,0,11,0,18,14,13,13,14,0,23,11,0,14,0,13,17,11,0,13,10,0,30,0,16,17,19,28,12,24,19,28,13,19,25,0,12,12,31,0,25,31,0,15,11,39,30,21,14,14,17,15,20,14,0,11,0,0,0,0,16,0,0,0,0,0,0,18,0,0,0,10,10,0,0,18,10,24,10,12,11,0,25,0,13,16,19,21,19,18,14,23,25,25,0,29,0,31,23,11
"hsa-miR-6842-3p",0,10,26,22,24,15,0,16,0,13,0,0,11,10,10,12,0,14,0,10,16,11,0,0,0,0,13,0,0,0,0,24,13,13,11,0,0,22,0,0,11,10,13,0,13,13,23,0,13,18,32,16,17,19,23,11,10,0,0,49,0,19,36,11,17,18,26,32,0,0,13,28,19,25,0,17,13,0,0,0,0,13,0,0,13,14,12,0,0,0,10,11,0,0,0,15,0,15,23,0,18,11,0,18,0,13,12,24,13,0,18,13,25,24,22,0,23,21,34,24,13
"hsa-miR-941",38,23,53,25,42,33,19,23,20,19,24,13,27,17,22,16,64,37,31,30,13,19,44,14,27,22,25,17,46,29,30,49,16,24,52,24,39,31,20,27,0,18,31,26,36,19,37,41,27,22,40,14,36,23,26,31,0,13,27,104,11,40,59,0,51,31,79,66,38,23,20,52,67,46,14,67,15,12,19,35,27,14,0,16,222,18,10,29,21,0,16,20,36,16,20,21,18,28,42,16,30,21,26,24,33,30,26,81,29,17,48,29,37,53,37,30,29,20,41,51,19
