"","MET8","HB16","MET11","HB15","HB14","MET12","HB50","HB39","HB38","HB36","HB42","HB32","HB62","HB22","HB60","HB44","HB52","HB31","HB58","HB64","HB29","HB30","HB56","HB33","HB54","HB46","HB25","HB59","HB63","HB65","HB66","HB23","HB21","HB61","HB27","HB35","HB24","HB26","HB47","HB40","HB41","HB37","HB49","HB17","HB53","HB55","HB34","HB45","HB28","HB57","HB18","HB43","HB20","HB19","HB67","HB51","HB76","HB75","HB71","HB72","HB77","HC21","MET20","HB70","HC19","HB74","MET21","MET19","HB73","HB69","HB81","HC20","HB80","HC22","HB78","HB68","HB79","HB4","HC1","MET5","HB7","MET3","MET15","MET1","HB12","HC6","HC11","HC9","HC4","HB10","HB11","HB5","HC8","HC14","HB13","HC10","MET7","HC12","HC17","HC2","HC18","HC13","HB3","HC16","HB9","MET4","HC7","MET2","MET16","HB1","MET13","MET17","HC5","MET6","MET10","HB2","HB8","MET18","MET14","HC15","MET9"
"hsa-miR-1272",41,33,30,18,18,45,0,14,10,24,0,0,15,19,18,23,26,23,12,17,16,18,34,16,14,17,0,26,39,12,11,12,26,21,44,29,37,26,19,21,30,14,14,27,21,16,19,35,45,28,47,12,17,31,19,15,17,22,11,103,32,58,77,19,40,25,102,72,44,10,29,67,73,42,14,15,20,15,26,25,10,17,0,16,11,17,16,13,33,18,15,22,26,17,21,22,35,26,30,16,30,24,31,21,45,24,42,39,32,23,11,52,28,37,29,26,36,34,32,57,36
"hsa-miR-143-3p",1131,491,743,549,542,751,73,207,122,434,122,149,270,690,414,291,404,669,449,334,309,868,562,491,288,553,343,559,547,209,405,332,449,416,654,652,922,445,458,339,335,389,193,611,534,434,339,799,506,588,2111,547,755,617,695,487,279,419,801,2615,526,707,1713,333,884,328,1336,1444,491,528,821,491,1341,932,519,799,458,290,253,602,466,366,64,228,303,397,339,163,370,284,238,419,447,454,281,252,550,519,404,372,753,400,504,496,452,520,710,1151,761,358,594,1121,538,696,614,408,420,747,1494,1078,687
"hsa-miR-29a-5p",46,10,22,19,11,23,0,0,0,14,0,0,10,17,0,0,10,11,0,13,16,14,0,0,0,16,0,0,15,0,0,14,18,0,19,0,0,11,11,12,12,16,15,14,0,11,26,16,17,20,33,0,18,12,12,0,14,13,0,45,13,20,34,0,25,11,37,81,13,17,14,20,28,25,12,0,10,12,12,11,0,18,0,0,0,10,0,0,17,11,11,21,21,12,12,11,27,11,16,18,21,15,0,16,0,19,22,40,20,16,18,30,41,20,33,0,16,28,28,41,36
"hsa-miR-340-5p",10,11,0,10,12,0,0,0,0,0,12,10,0,12,0,0,15,15,0,0,0,0,0,11,0,0,10,12,22,0,13,0,0,11,14,0,14,13,0,10,0,17,0,11,13,0,11,19,20,0,21,10,12,14,13,18,0,10,17,35,0,10,16,0,19,18,68,40,16,16,25,25,36,17,33,16,0,0,0,26,19,0,0,0,14,0,10,0,0,0,0,0,17,0,19,15,10,11,20,11,19,14,10,0,16,12,0,160,16,0,13,26,21,37,13,0,12,0,17,12,11
"hsa-miR-4701-3p",11,16,11,10,0,10,0,0,0,0,11,0,0,20,0,18,0,17,0,15,0,0,0,11,12,13,10,11,0,11,0,0,0,12,0,10,10,0,13,0,12,13,10,0,0,11,20,17,19,0,31,16,19,17,11,17,0,0,13,11,12,11,14,0,18,0,18,18,12,10,16,14,14,28,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,13,23,0,0,0,0,17,13,0,18,13,0,19,10,12,12,10,0,0,0,15,14,12,11,17,33,16,0,24,10
"hsa-miR-629-3p",19,19,18,14,12,10,0,0,0,0,0,12,0,0,12,0,10,14,14,12,0,16,17,0,14,10,0,0,10,16,10,0,13,11,24,16,18,15,11,0,11,21,12,0,0,0,13,19,16,13,16,0,0,21,0,21,0,17,11,19,11,14,19,0,16,0,19,20,0,35,14,13,13,23,12,56,0,0,0,13,29,0,0,0,10,0,0,13,10,0,0,0,11,14,13,10,10,0,12,0,0,16,22,0,0,16,11,20,0,0,0,0,19,18,24,13,24,13,12,12,10
