"","MET8","HB16","MET11","HB15","HB14","MET12","HB50","HB39","HB38","HB36","HB42","HB32","HB62","HB22","HB60","HB44","HB52","HB31","HB58","HB64","HB29","HB30","HB56","HB33","HB54","HB46","HB25","HB59","HB63","HB65","HB66","HB23","HB21","HB61","HB27","HB35","HB24","HB26","HB47","HB40","HB41","HB37","HB49","HB17","HB53","HB55","HB34","HB45","HB28","HB57","HB18","HB43","HB20","HB19","HB67","HB51","HB76","HB75","HB71","HB72","HB77","HC21","MET20","HB70","HC19","HB74","MET21","MET19","HB73","HB69","HB81","HC20","HB80","HC22","HB78","HB68","HB79","HB4","HC1","MET5","HB7","MET3","MET15","MET1","HB12","HC6","HC11","HC9","HC4","HB10","HB11","HB5","HC8","HC14","HB13","HC10","MET7","HC12","HC17","HC2","HC18","HC13","HB3","HC16","HB9","MET4","HC7","MET2","MET16","HB1","MET13","MET17","HC5","MET6","MET10","HB2","HB8","MET18","MET14","HC15","MET9"
"hsa-miR-1307-3p",102,53,111,69,65,87,26,26,41,49,39,34,46,76,44,29,61,60,61,59,61,56,85,42,40,49,59,32,73,16,59,60,52,48,98,59,72,64,83,65,61,44,38,68,64,53,72,97,78,66,135,61,88,65,72,59,41,75,41,210,72,121,159,40,131,107,174,192,86,106,155,95,122,102,203,159,54,29,126,95,129,37,63,27,39,77,55,54,41,53,33,61,116,61,84,70,62,77,70,44,104,82,74,45,56,63,85,770,152,46,72,93,135,145,117,84,88,68,102,132,90
"hsa-miR-218-1-3p",26,23,21,19,21,28,0,22,0,13,0,0,0,16,0,15,0,11,0,0,15,18,19,17,0,14,20,16,12,17,0,20,16,18,15,23,14,20,19,26,12,19,11,24,19,19,31,19,21,19,27,21,21,32,18,25,13,0,14,24,21,19,25,15,33,14,35,24,0,22,19,0,0,15,12,12,21,0,13,0,0,0,0,0,20,0,26,13,13,16,10,0,15,10,10,0,0,12,17,13,21,22,13,13,13,29,24,23,17,14,12,12,22,24,26,10,41,19,31,22,18
"hsa-miR-29a-5p",46,10,22,19,11,23,0,0,0,14,0,0,10,17,0,0,10,11,0,13,16,14,0,0,0,16,0,0,15,0,0,14,18,0,19,0,0,11,11,12,12,16,15,14,0,11,26,16,17,20,33,0,18,12,12,0,14,13,0,45,13,20,34,0,25,11,37,81,13,17,14,20,28,25,12,0,10,12,12,11,0,18,0,0,0,10,0,0,17,11,11,21,21,12,12,11,27,11,16,18,21,15,0,16,0,19,22,40,20,16,18,30,41,20,33,0,16,28,28,41,36
"hsa-miR-3152-3p",26,10,14,23,21,18,0,0,0,0,0,0,0,22,13,16,0,0,0,15,0,13,19,11,0,23,0,0,0,0,0,10,15,11,12,13,12,12,13,14,0,10,0,0,0,10,30,24,20,17,54,17,23,0,14,20,0,0,0,38,0,15,26,10,24,12,42,20,0,0,14,25,15,37,19,0,13,14,0,0,0,14,0,0,0,0,0,14,11,0,11,10,14,10,0,10,18,25,15,15,21,15,0,11,12,11,20,21,16,17,18,37,32,43,0,12,21,16,36,38,19
"hsa-miR-328-3p",97,46,77,55,60,65,23,23,10,41,23,23,187,62,51,154,51,52,63,38,75,61,59,51,37,46,50,32,44,26,51,52,591,43,79,58,70,57,48,31,38,39,28,75,36,37,75,53,64,40,108,71,104,65,59,60,43,73,36,157,56,107,82,40,85,73,95,117,53,54,112,86,119,76,1689,136,52,24,41,68,78,23,14,52,23,78,73,47,80,26,28,59,85,57,68,64,42,71,54,33,55,69,46,54,53,76,63,475,109,46,47,67,206,88,110,45,99,69,125,76,40
"hsa-miR-3936",21,14,32,20,15,18,11,0,0,0,0,0,12,17,0,0,22,17,14,19,18,17,17,11,15,12,18,0,0,0,16,29,17,0,27,10,11,21,18,0,0,10,16,10,0,21,25,20,23,13,42,16,21,0,22,30,12,11,13,40,0,0,24,0,20,12,49,39,14,17,12,24,15,22,0,10,0,0,35,14,11,13,0,0,0,21,0,12,16,14,0,11,24,0,0,19,16,18,21,12,22,20,0,0,11,14,17,19,12,12,22,11,29,35,17,22,27,12,34,28,19
"hsa-miR-4513",16,20,25,20,17,17,0,16,0,0,0,0,0,16,0,11,0,10,0,0,16,0,0,0,0,0,11,0,14,11,0,22,16,12,16,10,13,22,0,13,12,13,13,18,0,0,17,10,20,12,28,16,14,23,14,15,0,0,0,33,13,0,26,0,16,0,32,37,10,10,10,17,14,19,0,0,16,11,0,13,12,0,0,0,123,15,0,0,0,0,0,0,14,0,0,0,16,0,16,16,15,0,0,12,11,10,0,18,14,0,10,0,30,23,13,12,27,13,27,26,13
"hsa-miR-4795-3p",44,25,20,20,23,42,0,0,0,11,0,15,0,34,11,0,10,0,10,0,0,13,17,0,0,18,12,0,0,11,0,16,26,13,15,0,32,11,14,13,0,16,13,18,14,11,14,44,24,25,44,21,26,36,16,18,10,0,11,54,21,22,42,13,27,0,43,64,0,17,19,20,14,40,17,11,0,12,0,12,10,24,0,0,0,0,12,0,18,18,17,15,0,0,0,0,16,17,23,25,17,16,0,14,17,20,20,37,18,0,24,35,24,26,27,18,46,33,30,41,28
"hsa-miR-568",15,0,10,10,0,15,0,0,12,0,12,0,54,11,11,0,15,0,0,0,13,27,11,85,0,78,10,0,10,0,13,0,12,10,0,0,13,14,13,0,0,0,12,0,0,0,37,11,0,67,41,0,0,13,32,13,0,0,0,80,59,0,0,44,16,11,20,17,0,11,0,14,16,14,23,0,0,19,0,0,0,13,0,0,15,10,0,0,0,0,0,0,0,11,18,0,0,0,11,0,11,0,14,0,0,13,0,45,0,57,18,0,14,18,15,0,16,0,10,14,15
