"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"ERAP1","Q9NZ08",16097,24,254.822186281744,-0.975203242759199,0.0354389752960687,18,0,4021,3921,4090,4065,0
"MAP1S","Q66K74",16093.5,30,340.211066357823,0.979794673326051,0.0183130058319485,19,0,4093,3923,3999,4078.5,0
"C2CD4C","Q8TF44",16085,22,227.180401255951,-1.07236050647784,0.0249185564884425,22,0,3961,3971,4051,4102,0
"PDK3","Q15120",16070.5,25,237.522699816256,-1.23021963031333,0.0154731455471163,19,0,3979,4053,3960,4078.5,0
"PANK4","Q9NVE7",16069.5,28,294.590694322023,-1.09853647491687,0.020142874802714,15,0,4063,3986,4013,4007.5,0
"ANKRD52","Q8NB46",16069,20,227.574635141398,-1.45135897168908,0.0151694349463107,18,0,3962,4091,3951,4065,0
"CAPN1","P07384",16061.5,30,337.643749944756,-1.5712496306185,0.0115987786620782,15,0,4091,4100,3863,4007.5,0
"EPB41L5","Q9HCM4",16059.5,26,241.463689873597,-1.80597475358452,0.0168140313119524,14,0,3990,4111,3984,3974.5,0
"AGPAT5","Q9NUQ2",16055.5,27,248.692945496671,-1.0011863895637,0.0280510517820448,17,0,4002,3936,4068,4049.5,0
"LRBA","P50851",16055,29,347.821906512663,-0.819679064630124,0.0291666282309927,23,0,4098,3776,4073,4108,0
"UBE2K","P61086",16050,29,333.082502991833,-1.7692825215175,0.0225890111376038,11,0,4086,4110,4034,3820,0
"MOCS1","Q9NZB8",16045.5,20,207.388504628427,1.28132515786438,0.0272532678061209,15,0,3911,4064,4063,4007.5,0
"MSH6","P52701",16035.5,21,231.971976407036,-1.19373461558899,0.0213117286042704,15,0,3968,4039,4021,4007.5,0
"RPL18","Q07020",16032.5,26,235.553562462758,-1.30000580266047,0.0202134450751808,14,0,3975,4068,4015,3974.5,0
"AP3M2","P53677",16030.5,29,267.099645866391,1.24396945200578,0.0157846792324143,14,0,4037,4055,3964,3974.5,0
"DOCK2","Q92608",16023.5,29,263.867577989482,0.841643641938385,0.0355783070930082,20,0,4034,3810,4091,4088.5,0
"STAMBP","O95630",16022,28,286.80395021256,1.31620082046016,0.0199262710781613,12,0,4056,4071,4011,3884,0
"DDX42","Q86XP3",16014.5,29,315.110587557134,-1.11356526928958,0.0142804596593687,15,0,4073,3996,3938,4007.5,0
"PKLR","P30613",16013,30,317.550523157867,-0.823106942201736,0.0366217423972629,18,0,4075,3781,4092,4065,0
"ANAPC1","Q9H1A4",16012,25,238.841332412324,1.03494142978812,0.0235116713944594,16,0,3983,3955,4042,4032,0
"MRI1","Q9BV20",16006.5,27,241.951831690549,0.996699427391682,0.0190243350168973,19,0,3991,3931,4006,4078.5,0
"SDF4","Q9BRK5",16001.5,24,235.46835816104,-1.19077997672796,0.0206368862050091,14,0,3974,4037,4016,3974.5,0
"MICOS10","Q5TGZ0",15992.5,27,252.753464077022,1.0380349678317,0.0324185191239625,13,0,4016,3961,4082,3933.5,0
"CDK5","Q00535",15983.5,28,281.530768718176,1.16576643099708,0.0161443879376632,13,0,4054,4025,3971,3933.5,0
"SNX17","Q15036",15979,19,216.78825158554,-1.00952729594346,0.0286351822789092,16,0,3937,3940,4070,4032,0
"F5","P12259",15968,29,328.068389453987,0.831608179588882,0.0218085476711286,18,0,4083,3795,4025,4065,0
"APMAP","Q9HDC9",15959.5,29,323.202941165574,-0.989864014755253,0.0164108901786225,14,0,4078,3929,3978,3974.5,0
"PMP2","P02689",15951.5,26,263.840216626045,0.956463887891582,0.0186063200269466,15,0,4033,3910,4001,4007.5,0
"PPP6R1","Q9UPN7",15943.5,25,248.820514297763,-0.944979802765384,0.0226269878346246,15,0,4003,3897,4036,4007.5,0
"ASNS","P08243",15931.5,29,272.964204589072,1.05586999569296,0.0151623898302557,14,0,4042,3965,3950,3974.5,0
"CALD1","Q05682",15926.5,30,304.789675805154,0.805223976869454,0.0338477299487379,15,0,4066,3765,4088,4007.5,0
"GBF1","Q92538",15924,28,290.213744779253,0.744845801892584,0.0325718779131418,21,0,4059,3685,4084,4096,0
"GANAB","Q14697",15920.5,30,342.772572312391,-0.753942611017811,0.0239526831906496,19,0,4094,3704,4044,4078.5,0
"CD47","Q08722",15911.5,26,274.874880997341,-1.83942870301279,0.0106949370739141,13,0,4045,4113,3820,3933.5,0
"EEF1G","P26641",15901.5,30,323.762597851342,1.15170284894978,0.0117870440190476,13,0,4079,4019,3870,3933.5,0
"NDUFA5","Q16718",15880.5,24,244.170023352034,1.0807899745958,0.0141883507271608,14,0,3996,3976,3934,3974.5,0
"ZC3H7A","Q8IWR0",15878.5,20,214.145680930545,-1.02050845177496,0.0290248397642857,13,0,3926,3947,4072,3933.5,0
"KARS1","Q15046",15873.5,29,282.770757848998,-1.66438940577741,0.0161229082948712,10,0,4055,4107,3969,3742.5,0
"GABRB3","P28472",15871.5,19,214.229576355289,-1.98471333567956,0.0124523721482888,13,0,3927,4115,3896,3933.5,0
"IGSF21","Q96ID5",15858.5,28,243.592919065434,0.862549400967396,0.0216614017590198,15,0,3995,3833,4023,4007.5,0
"PIP4K2C","Q8TBX8",15857.5,29,268.92764969211,0.945582118909711,0.0150946791753471,14,0,4038,3899,3946,3974.5,0
"ACOT9","Q9Y305",15856,29,281.215570416257,0.8231652233097,0.0152962436667768,18,0,4053,3782,3956,4065,0
"KIF11","P52732",15851.5,24,236.208859644865,0.852709068220774,0.0235252890647854,15,0,3978,3823,4043,4007.5,0
"FRY","Q5TBA9",15851,30,311.747738071785,1.63715925625171,0.0101165131499571,12,0,4071,4105,3791,3884,0
"PREB","Q9HCU5",15850,23,239.734001919241,-1.09944598757738,0.0112002370979454,16,0,3986,3987,3845,4032,0
"SLC25A25","Q6KCM7",15846.5,26,245.078946308018,-0.880449780651471,0.0151198768821154,17,0,3998,3850,3949,4049.5,0
"UBA2","Q9UBT2",15828.5,24,247.386158724108,1.19120876477786,0.0106264696777276,14,0,3999,4038,3817,3974.5,0
"EIF3B","P55884",15822,28,315.675791554747,1.27218748634299,0.0117462319941118,11,0,4074,4060,3868,3820,0
"SAA1","P0DJI8",15815.5,15,209.138237118138,0.827150688247875,0.0270253660353712,17,0,3917,3787,4062,4049.5,0
"TNR","Q92752",15815,28,277.385191522053,-0.745840671532476,0.0201908675800368,18,0,4049,3687,4014,4065,0
