"Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"hsa-miR-139-3p",615.5,27,262.854820379983,-0.592002680917328,0.0794952488085108,25,0,166,173,130,146.5,0
"hsa-miR-22-3p",613.5,23,231.067543355215,-0.483857251212209,0.125343902720683,24,0,156,152,165,140.5,0
"hsa-miR-28-3p",612.5,27,264.564763654258,-0.580592809948516,0.0903267514497726,23,0,169,169,143,131.5,0
"hsa-miR-486-5p",603.5,23,239.148739103963,0.36330187750607,0.171258640918145,26,0,161,102,184,156.5,0
"hsa-piR-20918",602,23,216.642042190463,-0.447038436677237,0.0827217699316752,28,0,144,136,138,184,0
"hsa-miR-320d",601.5,18,194.368759337299,-0.515375366046974,0.103494969512611,26,0,132,161,152,156.5,0
"hsa-piR-28263",595.5,23,247.572871268951,-0.587993586421622,0.0688001472703963,25,0,163,170,116,146.5,0
"hsa-piR-33112",575.5,23,223.149779986555,-0.478857239412637,0.0814705046985543,24,0,149,151,135,140.5,0
"hsa-piR-27434",573.5,24,221.932466786662,-0.520872531871305,0.0807331637337419,23,0,148,162,132,131.5,0
"hsa-miR-335-5p",566.5,21,218.905365248704,-0.649911131140968,0.0640846944862939,23,0,146,181,108,131.5,0
"hsa-miR-30e-5p",566,22,229.56096992208,-0.357661110620126,0.0918394984028407,27,0,155,97,145,169,0
"hsa-piR-27198",565.5,11,165.219567452295,-0.466871690184406,0.0885810186804357,26,0,125,142,142,156.5,0
"hsa-miR-30c-5p",562.5,21,220.038358805149,-0.531956366081454,0.0719319360561988,23,0,147,164,120,131.5,0
"hsa-piR-27435",559.5,26,231.170591724853,-0.493423052254615,0.0683296843455138,23,0,157,156,115,131.5,0
"hsa-miR-320a-3p",557,27,243.454980357658,-0.489431631025816,0.0775436188919419,21,0,162,154,125,116,0
"hsa-miR-92a-3p",553,7,148.64869664226,0.21332142838853,0.141685483767065,29,0,117,66,172,198,0
"hsa-piR-27433",547.5,24,223.62673509559,-0.491675325006165,0.0607497962837905,24,0,150,155,102,140.5,0
"hsa-miR-194-5p",541,3,97.3337883846224,-0.280981580030169,0.199508062303537,28,0,82,80,195,184,0
"hsa-miR-143-3p",533,21,237.163800000115,-0.487469149612332,0.0621407068287542,21,0,159,153,105,116,0
"hsa-piR-32957",518,19,208.762209186837,-0.49957802150821,0.0672858763557464,20,0,140,158,114,106,0
"hsa-piR-33073",514,20,212.705839531045,-0.470713979291073,0.0653575341520309,21,0,142,146,110,116,0
"hsa-piR-27432",512.5,6,146.753895970163,-0.439921773119553,0.0744255563658081,24,0,115,134,123,140.5,0
"hsa-miR-29c-3p",503.5,17,207.95315297936,-0.377865651421142,0.0769009018851292,23,0,139,109,124,131.5,0
"hsa-miR-30e-3p",498.5,7,135.004225837438,-0.397698817223507,0.0933847939781783,23,0,105,114,148,131.5,0
"hsa-piR-29235",493.5,8,148.875541557476,-0.466023916561619,0.0612220180830047,23,0,118,141,103,131.5,0
"hsa-miR-155-5p",491,19,205.892241770311,-0.428675528458647,0.0697447841858604,20,0,137,129,119,106,0
"hsa-piR-28269",490.5,6,128.642187363021,-0.403135754694622,0.0812498448850412,24,0,99,118,133,140.5,0
"hsa-miR-320c",484.5,7,130.415941351666,-0.363192406232007,0.0779708653099905,26,0,101,101,126,156.5,0
"hsa-miR-1307-3p",483,26,256.405731810108,-0.662063574951813,0.0397119816555796,18,0,164,184,47,88,0
"hsa-piR-32194",482,14,174.609712639129,0.395114288692977,0.0812763979579445,20,0,129,113,134,106,0
"hsa-piR-28059",474,9,151.985726848231,-0.474063441707897,0.0572959530672536,21,0,120,149,89,116,0
"hsa-miR-363-3p",456.5,1,94.8945426773832,-0.232706413004008,0.124442677387645,24,0,80,72,164,140.5,0
"hsa-piR-32941",455,5,142.285257670323,-0.432476885116457,0.0625142643919173,20,0,113,130,106,106,0
"hsa-miR-3613-5p",453,0,53.4561967210785,0.178153800576124,0.146597140500891,27,0,53,57,174,169,0
"hsa-piR-23444",453,19,204.205169946618,-0.469830137516156,0.0596923300922089,17,0,136,144,97,76,0
"hsa-miR-150-5p",452,10,162.029680742451,-0.509936787533025,0.0625835949049762,16,0,123,159,107,63,0
"hsa-piR-1080",450,21,196.690719476089,-0.425713274221818,0.0539056377257858,20,0,134,127,83,106,0
"hsa-piR-28247",445,16,190.73595020987,-0.470424842268947,0.0510168058390195,19,0,131,145,72,97,0
