"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","source1","source2","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"CLIC4","Q9Y696",16095.5,30,338.681582715793,-0.938909437642734,0.0294846716631089,18,0,NA,NA,4088,3891,4067,4049.5,0
"NUFIP2","Q7Z417",16093.5,26,251.969594183256,-1.11647739716855,0.0294398181000294,17,0,NA,NA,4005,4000,4065,4023.5,0
"RIDA","P52758",16089.5,26,261.915886868686,-1.2401024312405,0.0250029816995086,15,0,NA,NA,4017,4054,4045,3973.5,0
"MAGED2","Q9UNF1",16074.5,24,227.759685923397,-1.09871319273116,0.0415933572447976,18,0,NA,NA,3942,3990,4093,4049.5,0
"APOC2","P02655",16068.5,30,443.374059769561,-1.53428291757809,0.0146044273106324,14,0,NA,NA,4112,4104,3915,3937.5,0
"COPE","O14579",16065.5,30,365.425928919487,-1.03357101967836,0.0201931557204895,16,0,NA,NA,4100,3959,4008,3998.5,0
"FRY","Q5TBA9",16046.5,29,304.874455250211,1.5304701469665,0.0125372823425341,17,0,NA,NA,4067,4101,3855,4023.5,0
"USP19","O94966",16036.5,28,267.608219365948,0.853659883592053,0.0525180198019611,22,0,NA,NA,4028,3810,4105,4093.5,0
"WTAP","Q15007",16035,24,231.17250302837,-1.03637006691502,0.0233126088779819,21,0,NA,NA,3954,3961,4034,4086,0
"DECR1","Q16698",16027.5,29,265.224055302698,-1.11169604823786,0.0202763921366606,16,0,NA,NA,4025,3995,4009,3998.5,0
"MAT2A","P31153",16019.5,30,267.251808222681,-0.984017300624839,0.0249737893331077,17,0,NA,NA,4027,3925,4044,4023.5,0
"PIK3R1","P27986",16017.5,30,334.65398280049,1.17178075283703,0.0167769059030509,14,0,NA,NA,4085,4030,3965,3937.5,0
"F3","P13726",16016.5,29,314.464091539802,-1.08747063518044,0.0211198220746911,14,0,NA,NA,4074,3987,4018,3937.5,0
"SSR1","P43307",16014.5,18,195.226276497621,-1.67668970896939,0.0220519441240648,18,0,NA,NA,3831,4110,4024,4049.5,0
"THOC2","Q8NI27",16013.5,30,338.040358265991,0.917887739477763,0.0236081037881962,17,0,NA,NA,4086,3866,4038,4023.5,0
"C3","P01024",16012.5,30,389.769461999674,0.868025364385404,0.0231585534999166,18,0,NA,NA,4107,3823,4033,4049.5,0
"SNRNP70","P08621",16012,30,280.911026681225,1.14620931368258,0.0137253434753323,19,0,NA,NA,4041,4017,3887,4067,0
"STAMBP","O95630",16003.5,26,270.809102763489,1.20255834753779,0.0144849948684935,17,0,NA,NA,4032,4039,3909,4023.5,0
"EIF3I","Q13347",16003.5,28,278.988390606517,1.21460665714951,0.0182581694723246,14,0,NA,NA,4039,4043,3984,3937.5,0
"RECQL","P46063",15983.5,30,449.937122137092,1.68935087235789,0.013036501643966,13,0,NA,NA,4113,4111,3871,3888.5,0
"EIF2S2","P20042",15981.5,25,258.115537456124,-1.22634223009315,0.0230530089139993,13,0,NA,NA,4010,4051,4032,3888.5,0
"PKLR","P30613",15981,30,357.699524172207,-0.850423631252868,0.0187608341403976,21,0,NA,NA,4098,3805,3992,4086,0
"HEXIM1","O94992",15977.5,28,274.257623273288,0.84211603729086,0.032262473561218,20,0,NA,NA,4036,3792,4073,4076.5,0
"PSMB5","P28074",15974.5,17,210.025733127135,1.06123408394082,0.0359537681752665,17,0,NA,NA,3894,3974,4083,4023.5,0
"SASS6","Q6UVJ0",15967,23,247.411932700558,0.938522642418662,0.0188987751446409,21,0,NA,NA,3998,3889,3994,4086,0
"NDUFA8","P51970",15956.5,24,212.542015020527,1.07437064182813,0.0221239790689899,18,0,NA,NA,3902,3979,4026,4049.5,0
"EEF1B2","P24534",15948.5,19,203.286728739238,-1.08876182358281,0.0328722638656998,17,0,NA,NA,3860,3988,4077,4023.5,0
"PLCB3","Q01970",15921.5,30,298.032003715759,-1.10045129494718,0.0141904740025033,15,0,NA,NA,4057,3991,3900,3973.5,0
