"Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"hsa-miR-339-5p",592.5,12,177.118315823211,0.477301417256081,0.0651577793352682,19,0,170,178,141,103.5,0
"hsa-miR-186-5p",587,13,177.83218530775,0.500357680857439,0.0448121610405053,22,0,171,182,107,127,0
"hsa-miR-128-3p",586.5,3,139.527860649253,0.345268697518918,0.0710486802635286,23,0,150,146,149,141.5,0
"hsa-piR-1080",584,6,140.548158992501,0.34934910456083,0.0785318656183791,22,0,151,148,158,127,0
"hsa-piR-27080",566.5,3,102.054004885528,0.362209211457412,0.0690279953193002,23,0,129,149,147,141.5,0
"hsa-miR-192-5p",563,9,146.962369732165,0.362232930931591,0.0603211411105592,22,0,155,150,131,127,0
"hsa-miR-28-3p",559,1,106.723228035777,0.320849166013394,0.0822706026984861,22,0,136,135,161,127,0
"hsa-piR-28765",559,2,85.8047149826799,0.271139250670246,0.0755818394751506,26,0,118,121,154,166,0
"hsa-piR-32972",554.5,3,108.038107435654,0.348861292518471,0.0594987486664452,23,0,137,147,129,141.5,0
"hsa-piR-25624",553,15,175.062220300535,0.476679338843634,0.0485607499508467,18,0,169,175,114,95,0
"hsa-miR-27a-3p",549.5,1,106.28628870448,0.318958117260691,0.0643953522017148,23,0,134,134,140,141.5,0
"hsa-miR-190a-5p",549,9,161.987539120845,0.338778014235699,0.0510376031097925,22,0,162,142,118,127,0
"hsa-miR-425-5p",542,9,155.924917111126,0.3139601159671,0.0535845414101594,22,0,160,133,122,127,0
"hsa-miR-26a-5p",539.5,4,124.865320591039,0.2419282331617,0.0666086968914411,23,0,143,111,144,141.5,0
"hsa-piR-32995",537,2,127.967640078757,0.410885226934349,0.0424119162792395,22,0,147,163,100,127,0
"hsa-miR-146b-5p",517.5,4,94.5029021426153,0.305824136864052,0.0746528942728367,20,0,127,129,152,109.5,0
"hsa-miR-126-3p",512.5,0,72.3686901844149,0.20852353207705,0.0770858597555923,25,0,106,92,156,158.5,0
"hsa-miR-7-5p",503.5,2,71.241704256979,0.220217999412622,0.0657308457920497,25,0,103,99,143,158.5,0
