"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"JPT1","Q9UK76",16072,15,188.764676864603,-1.14606898814057,0.0144958643575351,15,0,4012,4083,3954,4023,0
"EIF4A3","P38919",16065,13,187.775209629549,-0.811693897729125,0.0255127772276739,15,0,4010,3959,4073,4023,0
"ALDH18A1","P54886",16064.5,21,205.563390862707,0.943207645593367,0.0166359293845582,14,0,4042,4040,3992,3990.5,0
"ASNS","P08243",16063,14,179.778413343922,-0.757351468606493,0.0253021898815037,20,0,3991,3908,4070,4094,0
"SSR1","P43307",16061,8,137.247215911758,-1.28886817451602,0.0279963635521467,19,0,3794,4100,4082,4085,0
"RPA1","P27694",16041,14,177.552228739999,-0.859720928449749,0.0201279330424092,15,0,3985,3995,4038,4023,0
"RPL18","Q07020",16032.5,22,232.988772422394,1.22031576624843,0.0116878089611567,14,0,4075,4094,3873,3990.5,0
"DNPEP","Q9ULA0",16025,25,251.676207613742,1.05439058967966,0.0199883426403945,11,0,4089,4070,4037,3829,0
"DDX42","Q86XP3",16017,26,294.424337276864,1.0124530075148,0.0188642191406346,11,0,4103,4061,4024,3829,0
"NAP1L4","Q99733",16001.5,26,264.498525340165,-1.05034967239381,0.0137389457205796,12,0,4095,4068,3935,3903.5,0
"CSRP1","P21291",15995,29,273.196446775692,-0.685785276226119,0.0172005007803002,17,0,4098,3825,4003,4069,0
"EIF2A","Q9BY44",15994.5,26,247.639833054473,1.29847303005076,0.0112709928520924,13,0,4085,4104,3851,3954.5,0
"PREPL","Q4J6C6",15985.5,24,225.733197803288,-0.728378635581322,0.0302732536610355,13,0,4072,3873,4086,3954.5,0
"DDX18","Q9NVP1",15982.5,14,162.815399482145,0.990008424819538,0.0303719047457659,12,0,3939,4052,4088,3903.5,0
"THOC7","Q6I9Y2",15982,11,147.976571665372,-1.07997197681057,0.0167533364203715,16,0,3862,4075,3995,4050,0
"LYAR","Q9NX58",15978,6,147.605389177403,0.957665014812909,0.0188352848079495,16,0,3860,4045,4023,4050,0
"MAP4K5","Q9Y4K4",15977,11,175.738615439036,-0.762460662811955,0.0199314798267359,16,0,3978,3913,4036,4050,0
"MBOAT7","Q96N66",15962,19,208.1324842633,0.877016623330315,0.0114723864753219,16,0,4044,4006,3862,4050,0
"GCLM","P48507",15960,19,207.215183493318,-1.0774812844784,0.0100144819719704,16,0,4043,4074,3793,4050,0
"FIP1L1","Q6UN15",15956.5,24,234.035990693021,-1.19652199321928,0.0120151261857013,12,0,4079,4091,3883,3903.5,0
"PSMC6","P62333",15955.5,26,251.384468800882,0.937776288544391,0.0135476230824356,12,0,4088,4037,3927,3903.5,0
"GOLGA3","Q08378",15953,14,183.251203678982,0.707054217589725,0.022045811180792,16,0,3998,3850,4055,4050,0
"GPX3","P22352",15936.5,13,192.383900813161,-0.781676941437784,0.0263186639304365,12,0,4021,3935,4077,3903.5,0
"SHBG","P04278",15928.5,16,189.833822495078,-0.997948810567664,0.0144768546113155,12,0,4016,4057,3952,3903.5,0
"HABP2","Q14520",15928.5,13,186.626122605801,0.924315502940746,0.0163424066834795,12,0,4006,4030,3989,3903.5,0
"FADS3","Q9Y5Q0",15925,18,209.183785411886,-0.999888520628856,0.0166412510415362,11,0,4045,4058,3993,3829,0
"HEXB","P07686",15924,10,156.972554112291,0.746357314339456,0.025315704779224,16,0,3910,3893,4071,4050,0
